GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "02000","Alaska",8,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",40014380,41904674,41235016,42880090,44406803,47546237,50126750,49926563,54951938,53652007,54045452,57087368,54627629,53303253,53681146,53463861,53550915,52479584,52377485,50901285,51763966,50509127,54183819,55945726
 "02000","Alaska",8,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",30896283,32435071,31602855,33169361,34472410,37418622,39895207,39622675,44186830,42887072,42956034,45718803,43748692,42503457,43022093,42573997,42616883,41416826,41531632,40453232,41612540,40417211,43934668,45604507
 "02000","Alaska",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",494642,453917,507111,437896,489128,513244,449220,544304,522122,608459,691394,608990,606318,555047,527415,450354,439379,435081,451515,390413,362879,463134,473856,475983
 "02000","Alaska",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",5403170,7238510,5433425,6251255,6523678,8440707,9469321,8755335,11477528,9632699,9885309,11350185,9659822,8649418,8506770,7893167,8150441,7178957,7232503,8135836,7537587,5960698,7870878,8586103
 "02000","Alaska",8,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",532587,535948,526009,563635,543341,567981,569221,619569,614688,684098,778730,809355,798573,763197,744851,797164,791671,781493,780188,889291,886492,864260,929742,948448
 "02000","Alaska",8,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",2672137,2747551,2924319,2930558,2920464,2669616,2639192,2553571,2638014,2660145,2534431,2430491,2382200,2519680,2708663,2550234,2445039,2500471,2560048,2467739,2374894,2106814,2224492,2490498
 "02000","Alaska",8,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",1438091,1450745,1622267,1724993,1532832,1609907,1747035,1671318,1684676,1203652,955781,917999,1264680,1500242,1722081,1597345,1726515,1261615,1348331,1313336,1336746,1287202,1343582,1239796
 "02000","Alaska",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",135936,135886,157415,166752,185478,185413,208820,218886,214074,200389,190186,225185,226641,232520,260753,241487,228009,217954,236521,203263,240004,257742,258376,276658
 "02000","Alaska",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",1306130,1319251,1468053,1561791,1346524,1423905,1537578,1452543,1470922,1003978,770545,706018,1041545,1267472,1460554,1355023,1498506,1046103,1114526,1113913,1099647,1033773,1089034,968910
 "02000","Alaska",8,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",1014673,1027923,1057024,1124499,1185951,1236493,1307471,1323800,1144424,1246518,1250080,1227270,1289534,1294216,1309113,1304700,1285798,1344334,1426184,1331563,1342219,1277942,1150814,1058687
