GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "04000","Arizona",6,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",230885564,238257096,253743083,264989995,283806171,296424393,306611569,302277938,277412371,282252452,290411264,297077253,298859949,301721179,308582795,319008379,333098997,346398299,359576749,366588009,396457492,413798764,427644002,446968228
 "04000","Arizona",6,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",194532694,200974028,215093516,225465189,242592351,254009931,263365924,258016073,235558910,239628416,247860452,254593176,256743701,260594259,267810531,277499732,290406039,303832334,316317637,323527530,352299862,368878495,382631153,401431287
 "04000","Arizona",6,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",1966023,2224144,2029273,2394612,2520859,2369522,2203837,1647704,1630586,1782587,2054487,1586659,1850398,1641029,2032002,2601882,2392939,2344447,2442892,1938454,1664685,2203532,2091370,2200545
 "04000","Arizona",6,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",3387309,3044774,3257993,3974932,4921175,6002530,6113329,5842730,4768330,5636367,6198166,5540216,5284144,5289126,3970105,3536580,4374039,4122715,3967803,4733097,6005396,4725084,4314231,4093302
 "04000","Arizona",6,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",4522550,4561266,4526157,4833075,4762135,5226659,5719663,6025548,5717817,6291429,6620465,6789777,6717211,6281986,6373195,7005747,7063414,7015377,7245116,8483878,7908834,7346029,7630478,8197808
 "04000","Arizona",6,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",20425936,20052569,20821518,22769547,26298620,28433244,27455699,21792781,14330427,12248501,11860164,11266871,12326598,12323255,12776529,13918713,15520314,17030479,18334689,19960833,20707681,21122831,22526248,24508150
 "04000","Arizona",6,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",16086644,16894267,21132069,19151757,18452417,20939710,23708911,23437294,19777010,21376533,22441462,24275397,21977689,23481744,24639363,25332210,25753729,28454360,32809524,34020014,38026797,38395758,38336265,39148309
 "04000","Arizona",6,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",12495669,13354923,17265347,15395135,14604359,16581605,18409327,18479184,14865933,16604623,17676276,19903643,18235344,19395453,20154964,20815937,21152204,23572781,27448166,28583691,31957162,32427753,32379341,32802075
 "04000","Arizona",6,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",3824897,3560234,3432459,3546378,3793439,4291306,5394527,4949583,5077386,4861847,4828460,4375487,3733212,4081090,4484404,4516369,4601526,4881968,5363864,5440786,6074536,5984848,5973906,6337746
 "04000","Arizona",6,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",14147158,14446849,15438704,16388290,17109140,17683204,18988919,18512608,16310002,16663349,16687953,17625514,17206801,17261757,17621305,18287833,18676564,18814367,18622572,19351687,19403417,19403244,20267694,20622340
