GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "06000","California",8,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",1784567677,1821509513,1895287618,1956745474,2042141033,2120435378,2168940424,2192331807,2110679365,2153852764,2192887191,2255437279,2340335324,2428675697,2545979525,2623711672,2740550256,2850970282,2969608988,2930654608,3151112483,3147211352,3204016448,3306928555
 "06000","California",8,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",1503818077,1535300775,1604276687,1663884506,1745693926,1819782899,1860310431,1878069910,1806711453,1852826336,1890490047,1957304795,2039365894,2120496787,2230682261,2298995629,2415987761,2522856860,2640381623,2608806255,2826636671,2820766459,2869910933,2964474698
 "06000","California",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",22787257,25627734,26248534,27368297,31381372,31121847,28913107,25999609,30855071,30424945,27822839,28627791,29562121,33272378,36058405,40032211,39257475,40471234,39351011,42082660,37142458,34090886,36302650,41279266
 "06000","California",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",7762875,8257454,6707025,7254280,7386917,10008055,11407747,10157664,13416436,10398851,10258203,12375672,10832058,10044671,10607986,10219822,9837289,8326314,8606614,10169062,8302497,6653901,8816305,8812118
 "06000","California",8,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",18844208,27305670,26974621,26216048,25424566,28285874,28589465,28541468,27251738,29657311,31345476,32208375,32952626,31533978,32982698,35473829,38232659,38298794,37958579,40623869,38947640,39648993,43271392,45780678
 "06000","California",8,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",109735347,106562413,114235190,128879722,132226261,127899801,117525752,94929756,79281398,76970184,72767000,77502861,86112499,88793198,97403684,104378295,110699136,116056643,119243494,113508851,114963647,106070582,101578941,104409693
 "06000","California",8,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",160137450,152127301,172621536,183324247,204736820,218597650,234812701,257048899,241078971,232298987,223855809,231584913,245472407,256224403,265539456,273826871,294636660,319633746,333427372,325197495,353659327,328753800,327601053,326852703
 "06000","California",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",71775252,71213407,80855517,84411457,96859385,104047016,114282584,119063015,114127152,118858875,130390519,135025764,141041565,146536480,154380459,161998781,176065887,187865696,193106425,199897260,221364633,210580032,209856280,206677667
 "06000","California",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",97036419,85137663,96484205,105394144,112896620,119516883,124632441,144767491,132411871,115887816,93542086,96630384,104574945,109862828,111276411,111861970,118570773,131669315,140098614,124911261,131858717,118461760,118035151,120200283
 "06000","California",8,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",107457997,109021526,115222433,117409620,124853929,130615708,135782553,132779511,112220921,120023412,128300348,127245584,133362010,143988269,156870049,152232422,155598124,155463007,160786460,157555316,154794490,149491923,140774157,140488110
 "06000","California",8,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",118098050,124703937,131715941,137142853,141162814,143364452,135573034,125602520,117165710,123418800,123727401,125715475,133452637,137115656,144369281,149583669,157909485,161518946,168864306,160421881,161112591,157289164,169045992,185918330
 "06000","California",8,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",47844963,46371587,47234741,52219524,53463064,59181473,57748845,55990515,52058503,55325090,55949112,54573693,57810691,60766502,64110481,69943809,75160178,80727338,89209375,81912102,96618470,95629044,96123938,100605190
 "06000","California",8,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",72408556,78808124,82909888,93773969,99314603,108326309,119521542,125487252,118206708,135482690,141649000,144417436,177375502,187985393,218137786,242525343,271436277,284908747,315792300,336122125,388715172,396778969,433211510,475555424
 "06000","California",8,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",379770041,391876199,397605786,391357686,416473698,429143337,441054194,444389546,462800630,469451050,480649019,499086836,501282496,503893798,500811594,494195167,507442962,519614652,531017911,533346284,578075181,569232707,569671788,566243151
 "06000","California",8,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",116997968,126134867,130444515,120947867,128743878,138034643,128105019,108875850,141287282,132391965,136292137,149481276,141272358,143465417,144963933,136520168,135161274,130354396,132578420,136563384,157606634,136018869,130085891,119981404
 "06000","California",8,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",262504323,266253739,268015816,270394726,287717274,291638563,312187377,332474120,323616664,336807799,344233127,350776329,359987946,360554024,356145409,357727481,372281688,389466860,398677639,396918471,420274508,435127482,442106207,449811380
 "06000","California",8,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",237536636,231257179,236899456,237779945,244484061,253673907,265043573,282265342,260899581,271294877,287186824,307256256,304332745,322889267,341369008,350461836,367934539,398499764,423398552,441473527,502833056,529967570,532949828,555608517
 "06000","California",8,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",143060534,141487432,143925966,145561789,152027874,159715754,168806334,186712199,174027574,179732436,191008743,206790282,202439192,215523926,230707029,233940940,244622303,266180208,286237685,302248207,343913131,354861030,360315661,376797202
 "06000","California",8,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",44925780,39862503,39203239,34842536,31341445,30074843,28133306,27414054,25051606,26256638,28066949,29311784,33029112,35671565,37000379,38755329,40198189,46547665,48029976,53118238,62470426,70477474,73874573,86003209
 "06000","California",8,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",52446372,51924565,55532744,58523747,61949206,64612335,68928733,68790504,62362890,65918840,68668339,71665491,69003371,71729727,73619911,77756092,83114047,85820044,89189764,86606404,97238675,105475410,100628790,96812843
 "06000","California",8,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",113234645,120765735,126598466,133290363,135269236,140788296,142493302,154023295,159748091,163761014,169041948,174628438,178833982,183806400,193142415,201072726,207059929,215168368,224332781,224587829,234292465,246020217,256980030,270826045
 "06000","California",8,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",18746713,19431124,20765014,22211974,21777904,22582646,22819499,24681442,26766265,28143775,28755240,29176148,29005491,29989187,30022272,30727052,30675584,31764744,32972267,30221085,30511452,33650113,34168435,35108807
