GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "08000","Colorado",7,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",242650096,243701932,246017435,250069293,261992919,268190805,278733823,281803303,275659145,279385573,283963779,289339541,301484129,315399050,330526147,337685173,350209112,365204531,383725638,380543997,406309165,422576125,440225205,448838490
 "08000","Colorado",7,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",205593607,205647552,207935414,212161738,223503755,230201889,241105170,242739149,236745237,240207360,245083692,250560731,262659918,275852092,289882000,295831813,307059120,321328111,338875646,335658559,360795080,375760316,392010023,399277651
 "08000","Colorado",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",2308533,2068539,1910339,2132988,2563239,2509258,2411670,2084119,2519487,2429432,2273188,2030335,1968925,2116153,2615892,2858510,2364919,2594583,2671290,2157400,2499658,2201390,2433715,2138352
 "08000","Colorado",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",3818542,4120378,4806925,5280098,6544380,7184685,6964342,7641773,8433442,7355243,7478790,7729484,8516189,10935495,12921841,12277885,13292822,13972931,15542320,14241018,13015948,11492443,15994607,15751213
 "08000","Colorado",7,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",3015893,3021878,3185958,3526940,3479762,3861425,3462169,3787695,3275835,4037103,4172382,4123770,4024799,4045743,4107072,4119473,3940150,3809584,4260569,4809220,5135324,4630089,4862218,4972182
 "08000","Colorado",7,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",22491764,21097184,19730667,19180294,18900769,18145545,17717315,16795415,13925700,11604681,11662020,12210026,14760823,16776084,18169920,19568703,20895748,22141490,22811871,22723664,22994011,21745448,21178512,21777552
 "08000","Colorado",7,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",13198184,13890362,14245144,15850056,16813835,18435354,20264105,20297573,20081155,20700718,20708854,20693527,21125651,21869855,22141583,21802845,21524028,22797284,23795361,25090694,24986901,25080643,24529603,24477739
 "08000","Colorado",7,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",6524699,7470094,7680947,8813141,9291420,10598516,11799296,11180717,10113185,11944443,12430753,13062834,13555353,13415099,13547928,13348469,13803686,14751129,15494503,15862860,15763553,16105731,15574096,15136333
 "08000","Colorado",7,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",7398513,6667666,6802509,7125103,7648411,7786153,8351690,9188271,10250555,8801526,8287033,7631105,7571148,8456977,8595739,8456474,7720342,8048427,8305151,9232960,9228986,9001501,8967578,9328009
 "08000","Colorado",7,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",14629039,14409777,14636010,14719943,15473898,16051633,17195197,17470119,15130151,15852543,16022111,16765912,17397902,18441826,19299668,19469245,20006146,20322786,20858904,21269618,21133777,20669600,20680434,20393245
 "08000","Colorado",7,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",13975146,14519690,14827641,15073339,15553339,15588047,15545633,15190488,14557871,15127105,15014551,15226998,15844473,16536149,17674596,19089334,20291820,21189116,21915947,22164051,21558844,21492000,23604020,25974072
 "08000","Colorado",7,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",6632030,6581360,7150132,8134688,8886593,7445774,8758259,8354863,7887966,8272991,8041717,8629740,11066856,11891253,12649052,11824542,12316071,13370338,12402784,10395879,12634924,13468025,13919371,14808435
