GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "11000","District of Columbia",2,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",96185345,99014659,100969449,106547191,108884101,108848328,112287649,116213705,115645991,120393223,122636380,123567873,124094795,126883923,129110196,132217775,134298772,138056788,138909669,137828870,143338748,143050800,143179241,145087985
 "11000","District of Columbia",2,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",60223233,61897731,63791834,68605189,70037929,70968216,74629925,77208648,74817410,77682533,79667899,80981792,81856543,84749263,86882166,88623058,90291370,93304646,94870481,92140312,97174721,97952043,98717916,100400460
 "11000","District of Columbia",2,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",1022,909,891,988,806,1002,356,146,136,407,481,624,559,493,642,1392,1968,1723,3147,3264,4795,4520,8407,7204
 "11000","District of Columbia",2,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",28092,33993,13946,4827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 "11000","District of Columbia",2,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",979477,1020751,1054894,1108081,1212481,1242343,1353460,1442786,1437132,1576302,1446878,1324388,1267766,1173230,1213876,1258402,1307045,1429262,1395046,1490779,1382940,1272439,1163062,1168605
 "11000","District of Columbia",2,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",1530287,1765215,1744957,1687080,1536953,1376550,1307331,1355298,1212268,1204050,1351207,1645771,1694285,1674599,1617586,1570883,1748978,1773022,1790041,1665165,1604806,1415446,1347128,1339449
 "11000","District of Columbia",2,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",360880,359051,383490,431936,360614,329084,328336,317085,318840,295294,311633,244535,255907,223753,248728,266897,260062,257400,242548,250285,317014,317886,276277,274411
 "11000","District of Columbia",2,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",78169,99525,105757,128019,108249,97364,83440,79186,77344,68609,69112,72966,88798,88683,105521,122768,122914,131844,126960,139824,153149,144046,147267,149277
 "11000","District of Columbia",2,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",311934,257665,276401,292940,242161,223329,243611,237243,241753,227927,244395,172266,167488,135199,143271,144132,137149,125559,115597,110519,163241,172718,128570,124693
 "11000","District of Columbia",2,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",811858,807996,935353,953208,988416,973629,1025266,1048164,953576,1055108,1044650,1150754,1162141,1231756,1274883,1248838,1258756,1217110,1373762,1434755,1401501,1395135,1430499,1516447
 "11000","District of Columbia",2,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",956986,1004930,1102350,1132047,1169482,1191307,1177264,1149710,1108605,1247627,1253856,1265264,1309971,1387822,1475547,1624229,1700623,1761797,1780218,1576311,1428430,1421454,1613111,1836313
 "11000","District of Columbia",2,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",736869,611314,612382,607085,584699,568451,556703,589015,563442,584324,614502,687352,622776,656346,749494,767920,761528,727094,689882,482292,457645,539584,641597,663987
 "11000","District of Columbia",2,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",3045841,3637300,3937696,4482400,5050018,4890054,5308550,5405349,5181455,5464206,5533025,5121269,5591053,5549707,6008042,6461928,7193777,7806605,8872863,10058161,11426196,11629784,12066194,12977415
 "11000","District of Columbia",2,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",11747663,11070043,10895285,12214530,12436240,12711581,13902651,13131187,12932381,14285256,14844917,15647943,15780060,17210083,16866495,16584992,16902156,17522681,17842440,17715755,18672730,17528515,17020298,17456282
 "11000","District of Columbia",2,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",5340671,4727036,4256448,5318530,5062400,4909953,5465578,4642341,4788855,4871686,5030248,5413615,5278217,5441242,5772977,5676354,5818623,5930160,6079148,6223117,6353795,5066804,4948071,5172846
 "11000","District of Columbia",2,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",6575810,6465216,6719874,7029272,7478713,7885625,8536838,8530758,8219004,9414488,9810042,10247408,10491510,11724004,11088007,10908321,11083534,11595622,11764640,11488378,12320882,12755544,12349835,12537953
 "11000","District of Columbia",2,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",22024289,22758327,23667129,25250934,25441560,26319629,27619946,29920473,28326599,28657322,29653162,30147252,29724213,30515179,31565922,32674504,32651431,33375504,33384639,33539411,35719919,37094535,37887745,37811315
 "11000","District of Columbia",2,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",19341048,20159408,20990110,22569600,22426672,23176137,24255851,26495359,25058779,25085472,25791602,26180383,25746191,26382385,27207556,28561988,28388273,29049089,28931815,29056728,31049961,31869890,32540138,32457182
 "11000","District of Columbia",2,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",680677,629176,454670,386116,412903,449906,510934,456474,460308,586299,532348,599683,569672,647218,795423,690913,766017,840436,912226,1066671,1076496,1264975,1171746,1219197
 "11000","District of Columbia",2,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",2056447,2040652,2260098,2343759,2623236,2714383,2869614,3004358,2837271,2991070,3343046,3373421,3418251,3490157,3559855,3422995,3497141,3486597,3544716,3432946,3604845,3988610,4182606,4150901
 "11000","District of Columbia",2,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",7532233,7743711,8181830,8573243,8438412,8541355,8726121,9200740,9625656,9899831,10089056,9975033,10299944,10659401,10832474,11044980,10919990,11110272,11188626,10801524,10757193,11091159,11489399,11902200
