GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "10000","Delaware",2,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",65724791,63702543,64316787,67735474,66381193,68411829,68132404,65771321,69186157,68291851,71103481,70562372,68656786,73961749,76211173,71941407,69555627,70856435,74627793,72728770,75205533,81111785,82090935,85350534
 "10000","Delaware",2,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",59232440,56864195,57494028,60862147,59235036,61434446,60948438,58465036,61732865,61045062,63786324,63393722,61654163,67177799,69452597,65109853,62453076,63553933,67381650,65587104,67972314,73705065,74857232,77731609
 "10000","Delaware",2,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",354571,225817,319719,405714,501290,417603,326836,314060,489245,400203,294694,323013,411195,489186,461088,482945,611534,656013,589284,362173,518039,695204,544067,747418
 "10000","Delaware",2,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",29006,24483,12695,9958,2744,1936,527,934,806,890,82,401,2728,3072,3784,4024,5610,6460,5900,4900,4729,4223,2907,4851
 "10000","Delaware",2,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",748294,823945,780294,827925,767362,912183,940839,940599,874800,998391,963961,952436,937158,982503,1033261,1089013,1061260,997327,994412,1093756,1057666,1083024,1179565,1221928
 "10000","Delaware",2,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",3029921,2962775,2993851,3352555,3369056,3274269,2887798,2780768,2242458,1985822,2110297,2091542,2170192,2282056,2473859,2536255,2596989,2630427,2735400,2715591,2769756,2503550,2525365,2643237
 "10000","Delaware",2,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",4758990,3831602,4055473,5489036,5274222,5606754,6121920,5004925,4642206,4341872,4308896,3783713,3932614,3895720,4539277,3779588,4352102,4606399,5273614,5372538,5486162,5909622,6191122,6692562
 "10000","Delaware",2,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",822705,756729,792069,1002519,1040576,1146469,1295910,1352577,1183312,1270410,1228768,1375831,1228762,1157510,1223029,1174493,1323812,1414448,1483528,1419719,1472617,1412840,1302815,1260496
 "10000","Delaware",2,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",4176470,3189642,3391406,4708092,4399316,4615445,4975226,3673049,3494668,3078002,3089929,2404613,2703470,2739014,3318847,2604733,3028290,3192135,3786297,3951894,4013832,4482643,4861198,5400639
 "10000","Delaware",2,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",1986262,2059891,2449615,2653618,2700461,2977015,2862240,2768191,2413207,2487113,2479926,2428012,2329258,2381923,2232744,2223569,1879860,1902527,1939515,2010139,1997704,2041528,2012369,2056469
