GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "15000","Hawaii",8,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",60446448,62355155,65623658,69331961,72941857,74892933,76434095,76830203,74118521,76130166,77174209,78694016,80534850,81304891,83857638,85670434,87436367,88836402,88855240,79696785,84532035,87491233,89642216,91877966
 "15000","Hawaii",8,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",46343805,47719859,50484562,53625814,56826924,58449573,59874530,59765449,57017858,58848311,59461559,60881721,62996885,63491475,66050119,67304510,69194754,71148209,71311531,62315228,67060586,70349396,72228066,73994264
 "15000","Hawaii",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",447136,520730,504087,447352,523181,565958,412809,417275,570989,516429,460708,431939,401869,385560,477761,489881,492806,453475,423657,404722,392417,401946,408349,432411
 "15000","Hawaii",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",100505,83329,88784,81758,64373,85821,114999,106315,103190,80653,60181,60271,58555,57236,60798,66714,55064,65767,60643,69464,66216,58365,56749,62033
 "15000","Hawaii",8,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",1157944,1114185,1170404,1297604,1276567,1405617,1445125,1660039,1423751,1769348,2075204,2234408,2176291,2045891,1849905,1864180,1848522,1814239,1755238,1851056,1702785,1870891,1908387,1836742
 "15000","Hawaii",8,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",3860809,4023728,4478893,4807049,5491954,5508571,5880088,5722082,5097679,4600275,4365662,4406768,4363783,4415245,4976290,5428931,5274449,5119053,5195361,5063800,4922247,4314247,4343278,4645970
 "15000","Hawaii",8,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",1297868,1404755,1490018,1417431,1361950,1352973,1360064,1561933,1561529,1379288,1226294,1223883,1331226,1561329,1546012,1614947,1565904,1566091,1392750,1371000,1320646,1350713,1340574,1565050
 "15000","Hawaii",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",288060,286791,277309,282836,348163,367637,404799,417142,376420,371587,406645,369443,371833,371614,361042,393383,424706,429711,436863,399717,407748,393512,382479,415347
 "15000","Hawaii",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",1021887,1137253,1239484,1156681,1028920,999991,969899,1160294,1201569,1021684,843142,869619,969726,1191975,1186466,1223232,1141198,1136829,959498,975870,917751,959870,959765,1150562
 "15000","Hawaii",8,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",2237160,2323251,2493437,2530004,2602264,2541998,2627883,2655532,2331633,2403335,2435420,2471199,2555909,2621119,2771856,2759383,2830470,2770947,2805548,2657066,2516050,2452494,2377846,2400933
 "15000","Hawaii",8,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",4081432,4197134,4639380,4904374,5154900,5179471,5055702,4869293,4605839,4840900,5118698,5233138,5403160,5434762,5631098,5751090,6133770,6492390,6496283,5577954,5463103,5895658,6464037,7198908
 "15000","Hawaii",8,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",2278887,2203992,2418446,2900042,3391458,3717259,3711586,3389827,3384502,3850822,3759641,3886815,4050878,4018819,4184728,4433295,4788346,4819064,5081754,2634048,4253879,4756487,4949807,5126466
