GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "16000","Idaho",7,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",48695420,49840510,51542561,55137063,59331913,60738580,61812075,63878180,61276051,62626418,62703983,62007288,64769794,66784897,67790538,70442505,72935116,77652137,81144257,82711640,88955152,92792481,95286478,99567334
 "16000","Idaho",7,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",39944474,40971635,42563212,45885290,49816816,51102703,52213664,54159322,51729778,53298937,53549588,52802772,55614419,57716973,58523453,60989705,63172728,67792211,70977544,72645310,78681165,82252624,84485314,88801464
 "16000","Idaho",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",2417484,2650642,2194212,2661033,2703055,2900383,2863541,2864566,2683832,2797017,2810483,2749818,2768632,3083932,3392264,3791766,3232124,3772257,3929115,3977116,3248647,3723143,3741499,3903912
 "16000","Idaho",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",384814,371024,407611,405487,891071,724954,701733,978346,877265,1136178,1129612,633353,1017854,1389429,907630,1075537,504218,483298,404984,646140,812642,588666,866664,1067774
 "16000","Idaho",7,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",745149,856939,747123,802350,728745,804314,812778,943536,976244,1221818,1265262,1353926,1396830,1286960,1298592,1376620,1403479,1327857,1331097,1471959,1350596,1338351,1377847,1398406
 "16000","Idaho",7,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",4257081,3871873,3963468,4088045,4480146,4848472,5090078,4270817,3409116,3044470,2911008,3050391,3411317,3496956,3581221,3703584,3842927,3958567,4312129,4664917,5308293,5261642,5223752,5659825
 "16000","Idaho",7,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",3676226,3679127,4227102,5058354,5995454,5275678,5322898,6702565,6942320,7494721,7655180,7018258,6998996,7130935,6902337,7052789,7936109,8820504,8910438,8624878,8504752,8748497,8784941,8894213
 "16000","Idaho",7,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",1741650,1937718,2380945,3090921,3857343,3111152,2982377,4087456,4415681,4987863,4951542,4204480,4164257,4352503,3887275,4233706,4798525,5367211,5339263,4647491,4444107,4460325,4369497,4347998
 "16000","Idaho",7,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",2610756,2115453,2073873,1957147,1923970,2221359,2511938,2647240,2499343,2432035,2651351,2804677,2828195,2762888,3013420,2818703,3137584,3453122,3570781,3964841,4049543,4284566,4419710,4552701
 "16000","Idaho",7,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",2828727,2876900,3075295,3267849,3485281,3615000,3809439,3748040,3300689,3456686,3474320,3603126,3902340,4105454,4347842,4675399,4782034,4992783,5199359,5448670,6204939,5908767,5812047,6047317
