GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "17000","Illinois",3,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",688404254,692398081,703548764,726139030,741248580,759825672,769571627,759095327,740794302,755391375,772225623,790723271,795435232,811490102,825424943,826404691,832826821,851517192,858018321,810693082,857114585,872907485,884965268,899125864
 "17000","Illinois",3,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",604130006,606195270,617205781,639236641,654076659,672792025,683849799,673138520,655120756,667714763,686309521,706034582,710490234,727816099,743710060,745673176,751098679,770638298,776590699,732400700,778030125,793463142,804870736,816620582
 "17000","Illinois",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",2610888,3355333,4046293,5101984,3026725,4531507,4847484,6279690,5982401,5149777,6249006,4609040,7697847,5840480,4105101,6404812,5874266,6776143,5151711,6639849,9109302,8744898,8344940,8185889
 "17000","Illinois",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",2968747,2744524,2671913,2468135,2362980,2314570,2325432,2011550,2078471,1839216,1710702,1986788,2100902,2132968,2354685,1882153,1855546,1888440,1748243,1447963,1342816,1375932,1569766,1528337
 "17000","Illinois",3,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",12887590,12757387,11920890,12898765,12235203,11949351,11773030,12714080,11217788,12780795,13338753,13247178,12920271,13048504,13078904,13617473,13610821,13653140,14037909,15036215,14101911,15444620,15945788,16171849
 "17000","Illinois",3,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",43265153,42227591,43026350,43111913,41789921,39647148,37948984,35197185,28159482,27059742,26109328,24566343,27384861,28120304,29831364,30121728,30646863,29497945,29319152,27997623,29006104,26456909,26310821,27414567
 "17000","Illinois",3,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",85358290,82021526,87049298,93240821,92956886,94584734,97930219,92108202,89842212,94207852,100270196,105993093,99456373,101458965,98481807,96568863,98647363,105875482,104149182,98587739,107340910,105001291,104009812,106205018
 "17000","Illinois",3,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",40023270,39397483,41477444,45906708,47566019,50737834,52539053,52114064,43443064,49477159,54428931,58024620,53768453,52093712,49019193,47321094,48437858,50751385,50807533,46613577,49273880,48787765,46743594,46000203
 "17000","Illinois",3,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",46829436,43709592,46833489,48239681,45819089,43807262,45348608,39576513,46797493,44844238,45923242,48083018,45763149,49365441,49448035,49249998,50209505,55100521,53332210,52020787,58105381,56286724,57279997,60263013
 "17000","Illinois",3,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",49024199,49231389,50693911,52149422,54865084,56369018,58809484,59724786,52323391,55385795,57403072,60080130,61118249,62779862,65427034,64292768,64344568,63794569,63755716,64820275,65592754,64309033,62308559,60928719
 "17000","Illinois",3,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",34963041,36662690,37920961,38461360,39328278,39716210,39287553,38589643,36256868,36814263,36740152,37129632,38336944,39322850,41826069,43238801,44654302,46173858,46661268,45561345,45373683,44445854,48692236,52860183
 "17000","Illinois",3,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",24083752,23256039,23830734,26107319,26993436,31336086,29707801,29008779,27638809,29862346,30703158,30383767,31597834,32068847,32163180,31751987,33106024,34918240,35130623,31473864,35237322,35871339,36391095,37576704
 "17000","Illinois",3,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",13360867,14844523,15540260,16990416,18384971,18434903,20151557,21242563,20325257,20776755,21891962,21800152,23348006,23417729,25800025,27108533,26933438,28457453,32205204,33381511,37616870,42357092,47525971,49582149
 "17000","Illinois",3,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",158285167,157597189,156081432,159570227,167782189,174002811,176574993,164219264,179159607,177651370,179428437,187948516,184267280,191699542,197136572,194913167,189629008,191125563,193697132,175355626,182690592,183813224,185534106,184741704
 "17000","Illinois",3,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",73164678,71254269,69966362,73238351,77014513,83179690,79876916,66157855,82868017,76795798,77073939,85008517,77886817,84489215,88765297,86322523,80789537,80604331,84747881,68263351,69431667,68239353,68823206,68725092
 "17000","Illinois",3,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",85061361,86144091,85872548,86175288,90603364,90787344,96502201,97431587,97026719,100731465,102171078,103218276,106188904,107184483,108405820,108602693,108839471,110538396,108880996,107181644,113380409,115824512,116966786,116258025
 "17000","Illinois",3,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",83010672,83722562,85019446,87635467,91224895,93153553,95312864,99048314,91314665,94284357,97712415,102265614,103576564,107229159,108953888,110375792,114422508,120280180,121542302,118627559,130864113,139039372,139946056,140159904
 "17000","Illinois",3,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",49418340,50611127,49618965,51353092,53097615,54665340,55808848,59714882,55510677,55712077,57958717,60265962,61125099,63547106,66261114,68208148,69457906,73672785,75172082,73876141,81900177,87103921,88956453,89720760
 "17000","Illinois",3,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",15754856,15902291,16953207,16276473,16279209,16180914,15624924,15157653,14266802,15272188,15511585,16591306,17073318,17157128,15991389,15879037,16783312,16972041,16334910,16355154,17180936,17113347,17122522,17547722
 "17000","Illinois",3,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",17845100,17266177,18573673,19983816,21782944,22230887,23855623,24208239,21521693,23256141,24231974,25366916,25295402,26481938,26706050,26290966,28181290,29627799,29997470,28409143,31707635,34566131,33695979,32864481
 "17000","Illinois",3,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",50717134,51994502,53534245,55372728,56948196,59518154,60009956,63299909,65249940,65283503,66388392,67054901,67754164,68564034,70288919,71605467,72579651,74509649,75025901,72151837,74031647,78242620,81362170,84497647
 "17000","Illinois",3,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",9327699,9198103,9535611,9960688,9839989,10602581,10765866,11564067,12724387,13054807,13329733,13364745,13160875,12967013,12790580,12913099,12554323,12604103,12691131,11644155,11571838,12394386,13119602,13300310
 "17000","Illinois",3,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",41376945,42713972,43925573,45352696,46987010,48830091,49166905,51677425,52546803,52281730,53117455,53741987,54624904,55614251,57503330,58695676,60025329,61906954,62336189,60519194,62480060,65866158,68257777,71215793
 "17000","Illinois",3,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",27752581,28147668,28252333,27212786,26879305,28225199,29665408,29378281,27181803,28061331,28948566,30279584,30761807,32228759,34821237,34498887,35158557,33826278,34683278,24458133,30474322,34061042,35063558,35914218
 "17000","Illinois",3,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",8634796,9127086,8714681,7311271,6944494,7051780,7370023,7429144,6684956,6949989,7080864,8023594,8632716,8857265,9291284,9329116,9476302,9741092,10154491,6241755,8042927,9272246,10288654,10483133
 "17000","Illinois",3,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",18942145,18804779,19369029,19870221,19937581,21205057,22333415,21973637,20533727,21146546,21909500,22265223,22118141,23366457,25531987,25169552,25682255,24088909,24535094,18211100,22432442,24812416,24880731,25533191
 "17000","Illinois",3,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",21824578,22681401,21589372,21164696,21053785,21094023,20854850,20404425,19489696,18901527,18957332,18856422,18862271,19752913,19758103,19388655,19635765,19988668,19666265,17944459,17505354,18547068,17549978,17138115
 "17000","Illinois",3,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",85294805,87510485,87460115,87731007,87814099,87405893,85838924,86194971,86031113,88055643,86148607,84784110,85032403,83701691,81715986,80731348,81728142,80889144,81438516,78267399,79184889,79552515,80192300,82621480
 "17000","Illinois",3,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",5150098,5898064,6671993,7799745,5345306,6836294,7169862,8356303,8134219,7060193,8011419,6607441,9953186,8007313,6384548,8288338,7729812,8655546,6914892,8064135,10411615,10077910,9863778,9663905
 "17000","Illinois",3,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",84133779,86198239,88945361,90897112,94394203,96236080,98086970,98206321,88614753,92182762,94086231,97116781,99375099,102019030,107188423,107518213,108998870,109953180,110388652,110384360,110958961,108746942,110895084,113342069
 "17000","Illinois",3,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",37071014,36118176,35840591,39098253,39272303,43176079,41414619,41730519,38789633,42642439,44056831,43647205,44518661,45115199,45239699,45362249,46716845,48569421,49166085,46497211,49252422,51275429,52300244,53712549
 "17000","Illinois",3,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",96549007,95576268,101134074,108811204,110446781,112024558,117348828,113257555,109984201,114689415,121812818,127252707,122599694,124630367,124229938,123687403,125580801,134341960,136185539,131688769,144572382,146241087,149319118,153301528
 "17000","Illinois",3,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",131681014,127796272,134647690,142531304,138701385,139946600,142150315,135125349,126082490,128482443,134959054,137578284,137889233,138000116,134721170,134949637,137024038,144009801,140469337,134609030,146652900,141293082,139931194,143066904
 "17000","Illinois",3,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",471896733,477987488,482064315,496185879,514903524,532422346,541271288,537662688,528804811,538989528,551032571,568185350,572353838,589666865,608984624,610722556,614074642,626628290,636099906,597823546,631500592,652456929,665467261,674028436
 "17001","Adams, IL",3,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",2729402,2793895,2959431,3072999,3140568,3205728,3219690,3258738,3184763,3283240,3396698,3466423,3455367,3590184,3589551,3700649,3422692,3502952,3500413,3263320,3586088,3568532,3574889,3602228
 "17001","Adams, IL",3,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",2391054,2448963,2622162,2736017,2806402,2870909,2890418,2931657,2859623,2947669,3073569,3151458,3142676,3283704,3295940,3413743,3133545,3217293,3211674,3001780,3321360,3307173,3309261,3331534
 "17001","Adams, IL",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",13756,18295,105314,94516,61538,53166,38818,69874,60685,70446,51799,62662,(D),73794,15483,82570,88616,104059,94278,106054,145531,140353,136277,148866
 "17001","Adams, IL",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",56353,54452,50358,49320,47302,44920,43376,34049,23359,17816,18001,22623,26381,30155,37119,33722,38162,40498,36048,34975,34641,46821,35293,15807
 "17001","Adams, IL",3,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",9834,11298,11504,12382,11719,12212,11646,12645,11853,11848,12738,12531,(D),12354,13029,14800,14375,14754,15536,17302,(D),13155,13162,13667
 "17001","Adams, IL",3,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",176011,177248,188015,163487,162015,123792,116284,127233,136700,180474,187510,148623,154326,141444,134001,144375,150527,158835,141282,126927,169454,115527,115488,120416
 "17001","Adams, IL",3,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",449386,450226,493972,587811,638486,684519,702616,691788,565617,639316,732722,744325,726267,816149,827962,803032,557886,587752,558582,486502,619449,681570,667510,653243
 "17001","Adams, IL",3,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",(D),287831,321207,401105,443988,478035,512623,518374,403181,478749,554035,550240,524391,593696,593902,598634,373056,413426,420878,353909,489363,542490,529640,509886
 "17001","Adams, IL",3,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",(D),175606,185319,195418,201500,213462,191895,172881,164230,161022,179074,194312,202033,222615,234325,204370,184830,174419,137945,132739,132813,142552,141149,146194
 "17001","Adams, IL",3,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",167513,172784,194927,194377,206732,213890,235608,246139,214035,220733,225327,242304,259320,260096,276005,271746,265783,259561,250958,255781,259884,249118,240842,243782
 "17001","Adams, IL",3,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",214772,224680,239548,244740,246081,244473,228091,235229,244668,257937,252288,248955,258202,262252,271651,275209,280725,285670,286553,278417,264471,257506,280021,307621
 "17001","Adams, IL",3,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",104841,99634,98983,96942,102365,120452,117105,100309,88931,82561,77722,78387,78019,82084,112258,101912,104452,105057,105041,110429,117832,109063,108856,111332
 "17001","Adams, IL",3,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",31750,45235,44541,50620,50076,49663,53170,56366,54587,56789,58573,54801,57177,54691,64715,74779,81531,76135,84603,87160,(D),92260,100848,101851
 "17001","Adams, IL",3,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",549417,552339,542562,543863,573303,600777,614540,580898,687184,614203,646672,709946,649712,717911,696850,748013,652000,635930,685673,573930,586354,601133,603208,598142
 "17001","Adams, IL",3,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",208753,218324,210836,211241,215288,232086,239819,230662,279780,265507,280736,309283,274378,296561,302884,287743,264605,261051,283702,208362,207919,213530,208425,212089
 "17001","Adams, IL",3,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",338497,332277,329893,330783,355981,366604,372598,348347,405885,349363,366757,401664,375604,421343,394474,460269,387395,374825,401847,366123,379058,388409,395971,386777
 "17001","Adams, IL",3,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",132135,132002,134129,136033,129105,124896,133707,145037,136220,176137,189868,195146,188430,186546,191818,194731,201515,220456,216087,224475,274524,190348,184378,178475
 "17001","Adams, IL",3,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",74201,79415,78093,78065,71721,66636,64951,72302,69239,71224,73885,77041,76459,77406,78214,78563,77633,80444,72818,66907,74357,77973,82397,(D)
 "17001","Adams, IL",3,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",16294,13184,13625,14742,13838,15834,16719,14206,10894,9856,12554,13719,12053,11933,9939,10538,9180,16849,16020,16277,51252,10780,11500,(D)
 "17001","Adams, IL",3,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",41317,39250,41965,42776,42945,41741,51140,58008,55916,95169,103284,104102,99760,97010,103665,105615,114701,123262,127274,141133,152539,101120,90691,82216
 "17001","Adams, IL",3,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",338915,343046,346485,363219,380439,397446,399514,430966,444913,426257,438102,442119,441029,438383,448576,464901,493924,524305,528437,520520,547093,618204,643557,663060
 "17001","Adams, IL",3,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",37444,36563,36054,36071,35280,35590,34385,34785,38625,37717,39025,38597,38000,35541,33509,32957,30274,29895,28081,25432,24938,26587,28757,29742
 "17001","Adams, IL",3,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",302920,307694,311495,327978,345654,362208,365316,396125,406510,388824,399392,403779,403254,402969,415121,431973,463650,494421,500394,495169,522283,591797,614972,633496
 "17001","Adams, IL",3,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",90167,90885,92757,96940,95433,93195,92702,94261,91883,94147,94043,97266,(D),105025,111533,110499,109945,108516,107317,86825,109738,115965,115941,116984
 "17001","Adams, IL",3,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",14307,14095,14338,15402,15221,14891,16041,15261,14414,14007,12180,13364,(D),15377,17703,21555,21767,21483,22191,17839,28363,28391,28388,29228
 "17001","Adams, IL",3,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",75938,76916,78555,81615,80280,78366,76553,79014,77523,80243,82084,84079,81710,89791,93931,88946,88177,87034,85131,68991,81524,87623,87601,87866
 "17001","Adams, IL",3,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",97189,108554,105683,107572,106954,106599,102448,97887,95228,92764,87194,85698,84344,90300,91338,90139,94103,96728,101010,95165,96375,98715,91286,87322
 "17001","Adams, IL",3,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",350597,357137,344358,341958,337687,337591,331321,328645,327063,337568,324197,315448,313130,306601,293646,286855,289147,285722,288762,261760,265665,262302,266734,271905
 "17001","Adams, IL",3,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",56414,61074,169891,155235,113061,101550,84295,110271,88858,91757,72900,89044,(D),107616,50729,116303,126779,144429,130168,140374,178756,184943,169810,161064
 "17001","Adams, IL",3,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",384986,400504,436775,441866,454732,459693,462576,480011,459208,479347,478056,491269,517359,522253,547409,546861,546508,545155,537220,534092,524043,506374,520155,549350
 "17001","Adams, IL",3,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",114206,110649,110224,109148,113808,132207,128282,112745,100667,94430,90676,91114,(D),94583,125277,116703,118827,119807,120549,127656,(D),122264,122062,125030
 "17001","Adams, IL",3,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",479710,499111,540507,639789,687978,731950,754374,748334,623034,697986,791635,798300,783410,869109,891892,877461,639417,663950,642931,572828,(D),774285,767378,753562
 "17001","Adams, IL",3,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",678000,683046,819746,892072,908185,912606,907097,935250,794295,913477,991137,987988,(D),1076792,1018731,1067423,835192,890904,829763,751908,966305,971027,939570,922336
 "17001","Adams, IL",3,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",1720207,1774516,1804058,1843200,1897747,1958020,1982907,1996350,2064358,2033646,2082552,2163235,(D),2206939,2277192,2346095,2298352,2326802,2380822,2248040,2359127,2340473,2374080,2413668
 "17003","Alexander, IL",3,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",193045,192459,190301,194463,191193,200535,195008,234347,209395,215185,182648,159924,165669,159942,168179,159010,155341,154008,162131,150018,139524,132517,142138,201779
 "17003","Alexander, IL",3,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",136875,131631,129029,132037,125831,131226,125069,161986,145120,156352,132221,118673,132491,130309,139685,131503,125977,126309,133949,123582,113104,106689,116185,173754
 "17003","Alexander, IL",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",860,1524,823,7976,1542,5383,1507,14312,7433,21300,8159,958,12997,(D),(D),30291,20202,17287,23801,17041,15291,12380,12275,(D)
 "17003","Alexander, IL",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",13096,12213,13568,12612,11063,10083,9212,7458,7095,5826,5438,6390,6600,7384,8578,7352,9183,9812,8640,8053,0,(D),(D),55321
 "17003","Alexander, IL",3,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",3149,3368,3065,2931,2854,3061,3109,(D),3191,3308,3444,3538,(D),(D),3836,4142,2829,3546,3557,4484,3446,2471,2332,4754
 "17003","Alexander, IL",3,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",3616,3298,2998,4059,2589,2649,2529,2027,1622,2629,3836,2542,2064,(D),(D),1922,1036,1295,1137,1592,1008,(D),(D),(D)
 "17003","Alexander, IL",3,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",20467,16557,17947,15717,16324,18234,17817,16527,16401,15852,16582,13423,14585,14323,16243,16371,15659,16043,14740,14185,13543,11925,13116,14047
 "17003","Alexander, IL",3,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",3689,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),4779,4176,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "17003","Alexander, IL",3,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",16843,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),9813,10157,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "17003","Alexander, IL",3,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",1283,1236,(D),(D),(D),(D),(D),1346,1656,1967,2149,1932,2837,4230,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "17003","Alexander, IL",3,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",(D),5815,5928,6233,6289,6128,5472,(D),5673,5844,5367,5196,4915,4663,4751,4126,3963,4198,3901,3451,2989,3704,4760,4376
 "17003","Alexander, IL",3,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",21196,16864,(D),(D),(D),(D),(D),41108,29683,22688,17245,15660,13574,12877,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "17003","Alexander, IL",3,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",1732,(D),(D),(D),(D),1869,1685,1851,2166,2285,2355,2040,(D),(D),(D),(D),(D),(D),(D),(D),347,391,417,468
 "17003","Alexander, IL",3,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",35074,37148,36104,35626,38021,37371,42151,41646,41840,44642,42417,43327,40966,36590,34630,30881,31121,33040,(D),27657,26069,(D),(D),(D)
 "17003","Alexander, IL",3,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",7404,7317,6182,5639,5638,5810,5138,4896,6089,5186,5293,5475,(D),4867,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "17003","Alexander, IL",3,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",27897,30019,30031,30069,32449,31639,37055,36780,35977,39420,37153,37894,(D),31776,(D),(D),(D),(D),30130,(D),(D),(D),(D),19973
 "17003","Alexander, IL",3,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",(D),(D),(D),2851,1820,1625,1634,1973,2066,2236,2067,2081,2652,2434,2258,1742,1596,1523,1647,1606,(D),1569,1325,1769
 "17003","Alexander, IL",3,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",(D),1105,(D),969,833,869,(D),964,947,948,959,902,974,922,859,659,549,533,520,(D),(D),(D),(D),(D)
 "17003","Alexander, IL",3,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,(D),(D),(D)
 "17003","Alexander, IL",3,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",(D),(D),1438,1856,980,751,(D),1005,1116,1285,1103,1177,1679,1512,1399,1083,1048,990,1127,(D),1177,946,(D),(D)
 "17003","Alexander, IL",3,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",25432,25836,24719,21374,22065,22860,22263,23132,23293,24318,21994,21568,22386,21333,14287,6108,(D),(D),(D),(D),4983,(D),(D),5706
 "17003","Alexander, IL",3,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "17003","Alexander, IL",3,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
