GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "25000","Massachusetts",1,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",388180849,388451607,397069872,407886035,417075605,426926105,440373821,447526788,441307571,462330768,472664251,483286306,486991788,496250920,514398745,521662771,530129429,549262072,566326787,560395793,597420007,607470623,614786116,628786940
 "25000","Massachusetts",1,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",338071586,338198020,346945358,357489060,366123411,375425951,387591623,393738674,388013644,409459904,417330389,430741795,434146955,443040710,461024383,468831663,476636835,494823406,511958622,508208389,545886998,555952026,563569041,576197469
 "25000","Massachusetts",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",874441,941310,925377,910055,1032452,1244127,1043746,1047766,1228764,1335947,1074732,1047694,873334,728854,829668,821636,839425,838467,892802,847159,845730,876349,738207,748910
 "25000","Massachusetts",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",365767,327821,309349,306837,216900,215634,303722,160640,172369,151243,140814,138068,153033,179674,222044,285123,193813,176229,222180,163817,113900,89340,134948,185660
 "25000","Massachusetts",1,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",4762008,4238250,4363724,4351571,4327162,5344833,5527040,6661550,4786615,5759405,5890733,5854932,6214632,5990140,6201115,6108836,6945918,7287232,7663188,9461286,10856988,10182336,9396854,9329338
 "25000","Massachusetts",1,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",23887895,23176001,22319852,22296348,21424591,19834479,18724925,17273429,15383287,15087082,15528723,16575484,17403804,17509263,18845626,19845741,20870997,21578907,22127138,20983738,21831969,20032787,19434280,19955324
 "25000","Massachusetts",1,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",29269669,30423661,35123391,34802540,35824447,39217032,44877319,43128767,40420529,45935287,46060861,46668401,46209253,48150175,49319517,48122561,46542222,49455438,48716052,48438539,51707520,52001754,50247853,51192298
 "25000","Massachusetts",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",16860690,17364287,21011057,20975502,21889391,23690373,27499853,26653775,24366560,29672675,30769044,30961153,29506166,29571259,30294896,30644061,29281089,30206004,29651022,27844894,30129585,27744001,25612856,24822620
 "25000","Massachusetts",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",13615334,14496307,14781868,14348201,14229652,16037810,17728641,16707126,16468146,16245045,15088740,15528099,16641020,18610397,19056590,17474311,17261132,19240070,19054272,20581284,21579351,24043086,24349421,26053272
 "25000","Massachusetts",1,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",24332441,23440302,24966581,25441233,24668793,25639719,26177203,26495134,24083308,25010476,24888372,24294386,25039170,25683989,26882206,27253879,27287895,26308807,25895788,26396973,26692551,25570851,24709068,24505070
 "25000","Massachusetts",1,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",18462176,19238352,20347916,20947377,21020970,20122628,19033991,18530760,18229927,19153410,18844699,18456231,19138895,19620009,20816222,22299732,23467686,24589064,25902279,24729848,24671172,23179397,25847685,28159762
 "25000","Massachusetts",1,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",6881067,6938294,7271194,7841209,8134139,7960778,8118788,7889366,7517442,7861504,8239277,8092634,8292015,8723034,9399643,9710439,10714165,10799896,11361934,9276337,11633748,10934795,12049192,12626437
 "25000","Massachusetts",1,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",11022575,11986086,11920197,13946406,15506525,15665626,17085676,19666851,18809706,21368382,22092583,21886673,22921429,23495808,25376715,26440435,27916241,29163718,33013482,35254329,39892888,44301189,48891760,51611511
 "25000","Massachusetts",1,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",99767377,97176126,95227927,97221159,100418471,102754288,104237976,101378283,110472707,112739386,114384403,122506614,119837106,118256258,119895650,119570006,116875897,120365676,121624213,127203344,130131078,131610120,132130194,131678848
 "25000","Massachusetts",1,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",49452459,46554283,44101140,44252636,44098164,45985544,44823390,38270187,50480956,47183151,46180155,54589750,49762938,48576403,51923714,50893929,47642899,48469266,47977535,52642242,50616952,48552943,47276832,46061636
 "25000","Massachusetts",1,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",51105075,51117624,51361894,53097098,56241156,56794318,59234459,62265092,60776676,65403890,67747375,68264423,69931704,69493541,67976337,68693482,69232998,71909594,73693705,74548725,79629059,83430426,85327516,86171837
 "25000","Massachusetts",1,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",57875263,56024789,56601888,58624081,61044273,62780666,65233565,69846809,65854708,69609668,73048334,76761837,77404992,80481660,85550595,88489145,93919004,102012125,109448800,113103888,129257836,135185272,136160019,141507464
 "25000","Massachusetts",1,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",37391542,36957794,36906039,39250419,40718296,42173347,43847177,48471623,46261144,49129382,50739873,54105979,54207056,56441376,60074729,63443590,67408944,73077055,79209178,83962954,97773287,101781346,103157022,106876896
 "25000","Massachusetts",1,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",10884247,9870178,10017197,9208050,9193199,8995047,8795608,8758190,8260464,8413819,9684327,9785531,10200398,10704468,11790677,11222139,11757145,13497348,14096420,14136574,14628707,15067049,15239321,16780655
 "25000","Massachusetts",1,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",10076260,9508989,10013729,10324022,11283832,11743896,12759144,12744297,11411549,12176572,12679926,12921739,13030659,13354730,13670668,13821908,14752915,15447587,16152933,15067422,16857464,18255750,17774079,18016754
 "25000","Massachusetts",1,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",42993776,44107127,45624956,47404350,48140628,50042320,51577936,55292375,56978459,58772324,59984249,61671162,62559885,63973852,65870622,67361657,68178643,68355744,70337995,68064329,70486410,73118270,75279647,77509092
 "25000","Massachusetts",1,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",12776357,12751396,12991103,13655452,13161049,13207139,13683358,14500645,15307441,15957338,16187278,16221402,16098555,16028126,16086349,16387260,16289570,16554621,17050804,16088737,16108672,17233765,17783187,18337234
 "25000","Massachusetts",1,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",30465177,31543743,32793151,33939967,35071130,36870606,37939311,40821595,41737696,42899764,43874844,45498747,46490259,47957900,49786901,50976172,51889073,51800071,53285911,51981288,54395194,55892589,57504331,59179835
 "25000","Massachusetts",1,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",15912143,16339811,16034980,17094821,17048161,16591560,16306708,16242873,16139223,17581056,18032462,18361611,19308250,20616576,21737962,22246958,22393291,22959112,23985458,15315396,19559233,22077868,23356654,23307844
 "25000","Massachusetts",1,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",3563738,3797362,3303153,3763009,3936968,3700128,3659044,3703619,3968076,4615020,4636735,4645795,5283810,6266914,6516662,6679781,6396774,6577787,6658776,3870864,5194461,5779776,6222100,6304033
 "25000","Massachusetts",1,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",12408829,12593051,12819415,13400086,13159499,12952606,12705439,12591392,12203160,12984855,13420618,13745143,14039418,14345749,15219432,15565093,15996517,16381450,17323006,11437952,14363462,16289867,17138118,17018558
