GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "24000","Maryland",2,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",281053611,290400312,297690592,311504756,325644492,329874003,331763540,338165407,336285758,352622878,360155864,361561816,364633242,370343936,378745902,391950935,399714534,402480892,402506244,389178622,407160094,412670663,420557959,433105905
 "24000","Maryland",2,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",218097820,224521390,231354184,244475057,256976017,260162634,261227803,265905863,262771066,277027503,282509148,284298604,287273051,292400232,300252223,312314989,318880699,321955592,321544937,306911313,324455123,327577839,334929293,344893144
 "24000","Maryland",2,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",889626,730937,752592,912696,956280,981298,765841,826800,1032481,854197,776591,829624,915268,865296,903213,962633,1059056,961388,1049222,743076,1031156,1230256,903586,1106969
 "24000","Maryland",2,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",465534,479019,481904,484372,464039,488296,493916,386445,205511,378024,281786,263161,235404,238702,266719,236933,257827,226190,278137,270612,260934,216793,248052,256055
 "24000","Maryland",2,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",3995200,3958288,4223041,4941837,4456856,4949935,5988575,5980673,5715120,7059293,7098776,6646832,6350325,6095630,6660904,7140348,7283282,7116331,6665672,6628887,5624037,5457770,5977247,6210102
 "24000","Maryland",2,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",21858620,21265607,21535709,22867579,22028252,21065755,20204984,19115989,17119592,16499386,16691288,17110513,17927982,18954517,20262615,22535663,24317102,24008909,23976022,23421735,23262749,21459258,20864721,21520331
 "24000","Maryland",2,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",15370507,16108121,15587261,16777814,16260382,17393695,18800159,19432568,19908809,20796438,20540907,18695935,19855611,19554382,19433760,20626157,21032381,21443427,21581041,23093334,23270248,22453868,22884294,23645999
 "24000","Maryland",2,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",4752636,5489573,5714320,6174340,6114461,6399444,6827621,8398257,8162365,8207762,8829809,8177842,8404480,8305982,8345153,9126557,9700051,10108502,10336533,10379905,11031145,10298314,10557433,10702331
 "24000","Maryland",2,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",11728596,11351059,10268318,11011648,10452269,11407226,12466933,10963019,11801087,12712909,11721090,10514053,11467087,11262175,11098500,11503417,11332330,11337815,11250550,12721560,12263254,12150257,12326558,12933356
 "24000","Maryland",2,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",14902516,15062051,16026145,16835993,17512497,17477216,17525095,17391712,15312104,16005291,15914015,16002472,16224014,16645238,17476105,17433373,17541750,17523379,17695023,17410265,17010322,16695735,16427555,16111040
 "24000","Maryland",2,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",16376186,17240524,18057704,17974108,18792358,18563233,17759519,16938434,15987204,17187218,17346503,17694610,18015177,18399961,19292203,20323558,21082557,21490753,21540128,20383479,20456691,19727234,22477133,24793749
 "24000","Maryland",2,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",6614907,6494367,6419601,7000271,7479871,7564162,7309808,7227643,7025319,7544572,7599448,7526199,7620756,8084348,8395950,8746852,8734819,8976910,8748906,8514366,9432618,9232522,9052763,9425246
 "24000","Maryland",2,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",6349507,6994457,7282613,8971233,10484681,10425854,8927239,11844186,12832061,15290451,15817631,14734375,14456429,12911778,14521309,16490721,17289662,16240623,14957375,13697710,19206779,20956031,23528241,24609016
 "24000","Maryland",2,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",58918618,59931079,61424496,63382851,70178193,69975930,72726524,71150960,71533903,75116873,76653177,78597748,79168744,81043333,81129861,83532102,83430117,82595486,80671156,77899628,80726933,80081522,79378901,80063009
 "24000","Maryland",2,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",18614440,19173736,18969415,19157949,22218950,21591479,21703301,17740866,19692630,19197880,18657968,20697840,19227087,21343757,21180917,22234272,21293371,21032328,21023690,18765161,19473929,16772168,16068416,15992243
 "24000","Maryland",2,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",40694248,41188902,42804998,44538163,48415619,48780449,51358328,53312133,52018804,55843441,57771569,57900776,59742748,59666508,59899025,61298389,62136746,61565466,59633835,59156726,61275210,63679208,63741333,64533424
 "24000","Maryland",2,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",31311995,33076270,35023844,37577384,40412765,41673891,42319689,44600466,44447260,47013181,49088353,50932031,50892534,52334861,52394529,53707963,55313508,58784461,61156809,60200371,66498894,70380271,72004322,74310785
 "24000","Maryland",2,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",22456583,24093220,25200182,26684003,28213239,29066899,29379120,31531081,32036541,33639792,35129560,36432549,35961719,37059302,37004004,38128837,38777015,41598737,43682917,43724069,48129392,50587298,52581712,54448492
 "24000","Maryland",2,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",1262870,1227558,1579196,2338094,2844561,2997391,2892168,2838362,2698084,2920879,3211890,3469486,3727489,3843734,3806715,3898030,4222942,4630918,4997290,4708095,5119537,5533693,5666001,5859632
 "24000","Maryland",2,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",7486384,7594128,8150839,8566008,9425090,9685159,10147590,10298808,9737588,10491597,10764375,11030272,11206684,11428574,11588768,11681017,12313551,12559393,12501011,11808563,13271759,14264028,13873713,14154728
 "24000","Maryland",2,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",23738386,24520988,25737490,27235647,27905727,28819047,28958070,30653483,31668526,31937423,32855776,33238095,33280130,34132577,35291559,35902503,36438093,37263450,37732841,35525150,36735944,38233423,39850886,41833864
 "24000","Maryland",2,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",4539066,4700054,5018834,5398782,5327709,5357707,5376548,5615681,6053827,6194598,6379018,6409364,6145072,6301963,6244952,6388503,6360220,6626859,6564161,5966169,6034040,6372833,6499026,6649530
 "24000","Maryland",2,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",19212122,19836373,20750705,21885682,22596982,23461788,23581116,25028738,25631793,25769166,26504446,26853230,27142267,27837985,29046832,29514796,30077873,30635930,31170094,29564664,30711154,31867903,33362654,35198982
