GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "23000","Maine",1,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",54066164,55406487,56882376,58934847,59589666,59985952,60032647,59845088,58771837,59958526,59429729,59181697,59013939,59589798,60562978,62037088,63000596,64806287,66758382,67639172,71353454,72884355,75514042,77758621
 "23000","Maine",1,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",45564614,46728763,48042970,49979880,50580943,50949116,51021716,50762591,49849936,51148282,50988093,50906502,50818596,51269238,52360324,53505387,54614966,56442887,58434738,59362267,62920925,64232104,66764751,68774016
 "23000","Maine",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",1156511,1096401,1084153,979230,999770,1071532,876753,859238,923175,958626,847088,822861,762455,770955,939574,935997,909589,894061,918633,890577,878361,906581,857300,943054
 "23000","Maine",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",21526,20324,17631,18294,13214,13328,15573,22453,15928,18330,18096,27897,32274,27482,36829,37580,44877,51446,37436,66385,50610,31693,35525,55643
 "23000","Maine",1,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",997102,937160,851898,900833,902585,986351,1052875,1066996,948216,1033968,1008939,1031307,1032981,975386,952796,1001112,992187,965827,961061,1043727,977897,1070545,1227411,1189195
 "23000","Maine",1,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",3729727,3636529,3801512,3863190,3573746,3292449,3057419,2775357,2708600,2707503,2543808,2396683,2216655,2191825,2170858,2173439,2208606,2256082,2284469,2291696,2402848,2242146,2297554,2471504
 "23000","Maine",1,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",5378964,5228803,5326625,5870481,5988369,6101693,6397739,6360449,5985204,6195133,5956094,5828104,5638052,5655468,5384709,5584718,5933666,6097337,6392506,6971029,7220401,6914552,6841559,6813600
 "23000","Maine",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",2224453,2167813,2272403,2599066,2667822,2631117,2669045,2774636,2733696,3012126,3022168,2692491,2856806,2854598,2785672,2853660,2913169,3102735,3173611,3365861,3727713,3626338,3661203,3581849
 "23000","Maine",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",3198841,3102908,3082413,3277536,3322215,3492663,3768477,3609188,3262669,3185862,2936242,3132858,2781005,2800685,2598513,2730662,3020498,2994774,3219381,3608279,3487270,3282112,3174422,3225180
 "23000","Maine",1,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",2846928,2952278,3195657,3326016,3300401,3360006,3366138,3256633,2923453,3063386,3027335,3126040,3178438,3292191,3416862,3453791,3420105,3455307,3440889,3507520,3468087,3289990,3188391,3117501
 "23000","Maine",1,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",4415676,4695354,4983051,5082863,5064916,5020949,4730990,4648214,4512926,4610989,4505975,4407324,4532846,4639214,4898067,5096114,5347882,5545729,5742153,5798382,5856498,5705862,6419443,7108746
 "23000","Maine",1,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",1192920,1184053,1230163,1290025,1344051,1478017,1443360,1419603,1381472,1410102,1353750,1313937,1342356,1389867,1397906,1411516,1458594,1416885,1402102,1378295,1487758,1407622,1392683,1410167
 "23000","Maine",1,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",786847,875352,944922,1004436,1077788,1039903,1028111,1047777,1049303,1125139,996069,919812,972192,943640,1046978,1141236,1116952,1244364,1332516,1305539,1533822,1706184,1993292,2139401
 "23000","Maine",1,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",10895720,11265673,11472814,11849248,12499382,12275385,12669138,12300360,12793323,13238803,13816178,13850770,13614932,13290154,13516234,13597373,13422712,13857448,14481587,15694191,16187908,16627665,17089881,17431980
 "23000","Maine",1,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",3440423,3378238,3258159,3343943,3462903,3343123,3412179,3350150,3664056,3529717,3680461,3773570,3545745,3638529,3868665,3829776,4215566,4183275,4369764,4789989,4884904,4810004,4895215,4938371
 "23000","Maine",1,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",7474571,7898841,8219906,8510471,9041284,8936561,9261180,8955323,9149752,9702135,10128213,10075640,10058713,9647245,9647057,9766221,9207147,9677431,10115276,10907119,11306195,11827922,12207182,12509111
 "23000","Maine",1,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",4294433,4495609,4517451,4595998,4507468,4655621,4879294,5342460,5058835,5166187,5271128,5362034,5445538,5760459,5892932,6139186,6427800,6964676,7349905,7577120,8843871,9877953,10377426,10769425
