GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "26000","Michigan",3,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",453301454,465788388,477085414,485082677,493796257,483763581,482935051,455256658,416297069,441271527,453989070,463302557,472779860,479534941,490618679,500159534,505101516,516842963,521085050,502622285,528701754,539807471,554556227,562177628
 "26000","Michigan",3,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",390805517,402724224,414178972,423023625,430926118,422465327,423047179,395523790,358140958,382758715,397595712,408351356,418910545,426758357,437653489,447883001,452276319,464497338,467985046,450987949,476897402,487461578,501861372,508361554
 "26000","Michigan",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",2063516,2322099,2235160,2646129,2778880,3312914,2680805,2703627,2784171,3045695,3428576,2633948,2895750,2681784,2998585,3048118,3120756,3292377,2912866,3663779,4006333,3778252,4338678,4098255
 "26000","Michigan",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",1352585,1222974,1142394,1210067,1130429,1356169,1232414,1247025,1246020,1484587,1779377,1710410,1653580,1657149,1553506,1514398,1396032,1326142,1373614,1529923,1551782,1343910,1628136,1280722
 "26000","Michigan",3,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",7399493,7346688,7408498,7621039,7379265,7805861,8199254,9024471,7971982,9119244,9357225,9971573,9613408,9046433,9007065,10034450,9805631,9550962,9763832,10306888,9788783,9354270,9418292,9525533
 "26000","Michigan",3,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",29983327,27884603,27222654,27272231,25427770,22017343,19675431,16700087,14182967,14275726,14340931,16208052,16784618,17145796,17599985,18142064,18720044,19043792,18405445,17733564,18651751,17837418,18235581,19379234
 "26000","Michigan",3,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",77077170,82350738,85930156,83780372,85699839,85748780,90423558,77685394,56596552,73318350,80833231,83942135,90288959,89969680,89997493,91633807,93889717,96886206,94494849,89900763,95242296,99056763,98452166,99538112
 "26000","Michigan",3,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",57375771,60793699,63990746,61527969,65125555,63516105,69244136,58838203,38959908,54863621,62514157,66231142,71086797,70853836,69784695,71085235,72259726,74160385,71861738,65813539,72691320,78048329,77062415,76827778
 "26000","Michigan",3,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",19742186,21849963,21994334,22675663,20194777,22287832,20788805,18603450,17879475,18434760,18275967,17717714,19202488,19116627,20208147,20543512,21629991,22719607,22614423,24026212,22725953,21631695,21914788,23088480
 "26000","Michigan",3,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",28207945,28390030,29871268,30151578,31249080,30888835,30915748,30890634,26247473,28368935,28872214,29749658,30522362,32077883,33119647,33880097,34223830,34452702,34069886,33686119,33190882,31685921,31694814,31454849
 "26000","Michigan",3,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",28628804,29299287,30279727,29482469,29466641,28282380,27160044,26676216,26587979,27070702,27124599,26479927,26931442,27462300,28737649,30703267,32041167,33352657,33494133,32404738,33324540,32570104,36132015,39286744
