GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "30000","Montana",7,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",32689630,33663844,35249512,36949912,38848976,40055038,42057663,42049328,40938421,42469794,43532195,44329081,45114692,46166675,47765609,47189605,48470545,49454951,50263472,50062916,53345910,55806896,58604871,60605713
 "30000","Montana",7,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",26442384,27303862,28644032,30290475,32140888,33213822,35072318,34955069,33842898,35318820,36342287,37136313,38127047,39113280,40711727,39925347,41114758,42221184,42940094,42778068,45901880,48388958,51059674,52876360
 "30000","Montana",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",877907,1012838,1058895,1263544,1451266,1164630,1237390,1344647,1497084,1525212,1334360,1453528,1534679,1571075,1849915,1942589,1383649,1804894,1955973,1865748,1180374,1890665,2154801,1849261
 "30000","Montana",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",1469417,1347855,1329109,1428243,1587635,1779402,1913915,1856952,1800820,1812210,1942133,2107364,2227692,2159631,2046373,1535795,1593289,1591210,1661432,1883587,1905153,1790432,1903843,1953567
 "30000","Montana",7,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",851266,827547,828533,861038,820361,847167,909382,977980,938319,1024748,1111643,1125942,1126707,1053821,1086505,1132582,1107688,1022615,1071524,1116950,998808,980785,1071485,1083988
 "30000","Montana",7,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",2492765,2457137,2677911,2801710,2957718,2988316,3233370,2926294,2646225,2462106,2432662,2533961,2566141,2572597,2668892,2669783,2677144,2759265,2794835,2931091,3152853,3196650,3165563,3324010
 "30000","Montana",7,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",1996887,1885720,2256440,2397256,2308527,2395802,2959591,2403444,1875699,2146940,2367540,2261672,2382014,2690837,3025987,2479959,3251994,3194044,2851226,2521862,2786768,2908480,3032576,3408952
 "30000","Montana",7,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",810322,731073,786746,778871,824304,805314,894759,880844,775880,796821,878199,937206,1045772,1015805,1064295,1072441,1062095,1027955,1056367,1076097,1226787,1199773,1214042,1236858
 "30000","Montana",7,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",1090541,1082141,1428757,1600100,1445102,1554831,2019844,1493838,1075449,1322451,1457511,1327921,1357529,1664881,1939198,1385608,2189900,2164984,1808316,1441958,1552068,1685749,1786282,2126260
 "30000","Montana",7,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",1738030,1828843,1971356,2125600,2191479,2265290,2356114,2379601,2120600,2242588,2278298,2440647,2596052,2635578,2727085,2687901,2676640,2768258,2743679,2805974,2906720,2829990,2860292,2920658
 "30000","Montana",7,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",2102415,2273209,2340221,2432659,2653588,2750089,2768096,2745549,2600192,2763624,2742824,2743431,2802160,2870528,3040313,3249391,3449918,3598986,3764698,3780607,3725488,3698119,4219571,4722831
 "30000","Montana",7,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",1545280,1497700,1608111,1753967,1871613,1978159,1971927,2008357,1869078,1996450,1984452,2092256,2186036,2251431,2244312,2133765,2235902,2298586,2214232,2045383,2314911,2294705,2303088,2366961
 "30000","Montana",7,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",464181,529659,553575,640359,700179,741749,782072,829657,865933,943024,919234,889228,958066,926428,1002333,1061542,1153954,1164306,1244828,1297371,1595825,1735531,2046305,2035580
 "30000","Montana",7,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",5644924,5833871,6013828,6276700,7002592,7238593,7534456,7686402,7851471,8389317,8895180,8679325,8811406,9110428,9245584,9024995,9066553,9179481,9334902,9537349,10564326,11194704,11608671,11857941
 "30000","Montana",7,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",1645449,1830356,1840948,1838258,2040968,2117600,2143749,2149108,2508447,2344382,2434065,2492071,2342153,2458181,2460508,2484433,2429920,2358850,2429933,2601522,2772364,2864122,2829612,2818730
 "30000","Montana",7,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",4012830,4029774,4196194,4457844,4982701,5143177,5411146,5555573,5408229,6053697,6462779,6205531,6465288,6651503,6781849,6541427,6636633,6823314,6906338,6933978,7791670,8333714,8791591,9057551
 "30000","Montana",7,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",1994294,2119526,2221729,2241663,2371679,2534828,2768034,2969915,2858882,3023614,3181312,3422994,3243159,3340032,3444468,3463258,3634479,3812913,4049047,4233109,5011394,5722927,6189150,6568461
 "30000","Montana",7,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",1322626,1432890,1467377,1481322,1550785,1624823,1735500,1891652,1814173,1889223,1969436,2141540,2061074,2154749,2230197,2288455,2397738,2506665,2705763,2867153,3351539,3866725,4319160,4604187
 "30000","Montana",7,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",112661,114976,115813,86940,88026,94376,114164,135484,137110,148272,173888,196659,201055,197746,213095,212705,220555,228742,242295,259682,329440,313863,314981,337758
 "30000","Montana",7,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",570763,584108,649846,680917,740773,825046,929608,951975,915961,995810,1046635,1091347,983310,989254,1001945,962059,1016186,1077430,1101710,1109016,1334053,1539460,1561853,1637154
 "30000","Montana",7,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",2923720,3081571,3168571,3322983,3441810,3620822,3653689,3932650,4092959,4153352,4260028,4339076,4488488,4589560,4836552,5003780,5287809,5365127,5551470,5514095,5793780,6099711,6387221,6598978
 "30000","Montana",7,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",187510,185773,187392,202014,197012,216145,216549,222263,235957,237895,255433,251960,253771,258541,256694,261860,262271,267774,272302,251125,279440,315175,326950,341620
