GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "33000","New Hampshire",1,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",61719433,63474207,66119382,68428131,69556141,71424518,71943489,71195646,70498580,72950374,73464967,74082814,75503436,76836226,79319322,80736110,81179571,82269495,84438198,83682857,90296713,91702097,93645794,94925966
 "33000","New Hampshire",1,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",53185578,54849428,57220195,59471120,60452312,62197896,62599146,61742384,61320548,63561153,64323614,65152252,66618469,67902520,70630780,72049552,72452690,73617957,75739275,75230426,81846576,83323234,85133461,86197581
 "33000","New Hampshire",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",191281,195975,213493,214515,197556,212583,169236,186470,185600,181211,173759,201918,203974,207853,245227,246864,249366,222756,234139,241820,204703,255697,232092,227595
 "33000","New Hampshire",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",91013,119507,116856,105397,98236,115336,133671,103736,71595,68409,45310,60339,52565,63913,69037,105002,87515,154923,145813,125878,103605,112441,181412,204729
 "33000","New Hampshire",1,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",1068981,1061151,1113858,1265048,1186661,1125224,1104030,1211608,1303403,1408459,1373302,1373610,1352654,1275053,1300656,1325427,1329799,1293006,1229732,1362635,1195044,1226200,1353277,1277102
 "33000","New Hampshire",1,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",4285926,4118656,4124494,4321786,4029542,3695838,3201655,2742364,2538155,2529347,2537130,2521521,2427752,2341352,2393592,2463525,2561013,2602348,2688571,2348900,2739165,2581543,2636712,2768581
 "33000","New Hampshire",1,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",5468353,5646411,6316654,6556844,6208934,6863788,7231665,7038306,6644849,7306127,7662787,7275078,7913465,7283951,8092400,8414257,8187444,8265906,8597366,8660855,9025569,8710787,8376856,7936025
 "33000","New Hampshire",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",3472053,3790384,4385242,4645508,4342137,4937044,5234044,5135841,4759675,5442592,5935985,5556325,6077483,5402866,6151990,6307163,6104874,6140204,6395756,6407034,6799743,6450059,6049538,5549343
 "33000","New Hampshire",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",2280207,2021843,2036366,1973399,1951653,1967037,2029530,1923161,1921226,1874985,1720280,1715901,1831803,1883666,1939796,2107055,2082570,2125621,2201551,2253953,2227697,2257546,2319244,2377050
 "33000","New Hampshire",1,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",4191621,4234884,4389276,4502413,4605262,4649495,4736862,4745761,4199025,4420367,4439033,4557505,4764624,4958150,5356758,5343225,5384400,5426517,5422479,5688233,5915634,5904222,5742490,5468234
 "33000","New Hampshire",1,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",6155029,6443156,6620121,6301447,6395591,6517076,6011572,6128245,6068447,6442260,6066761,5714552,5649713,5398896,5327667,5644609,5921788,6105125,6306111,6313220,6247446,6034328,6765970,7466645
 "33000","New Hampshire",1,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",1078001,1087736,1118813,1199755,1293661,1308220,1200649,1117559,1062569,1099701,1143504,1115061,1152686,1159217,1250191,1264072,1210525,1252992,1164846,1261744,1475642,1419974,1457245,1514501
 "33000","New Hampshire",1,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",1191925,1339614,1347188,1664699,1885316,1940922,2026780,2223088,2195751,2269659,2214288,2329465,2587494,2853608,2857075,3071762,3052261,3221919,3715312,3706911,4013354,4532393,4767712,5002665
 "33000","New Hampshire",1,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",12984341,13635958,14079391,14533767,15277101,15686435,16692323,15710561,16789773,16922401,17412789,18419768,18347638,19219879,19690093,19571369,18494104,18073193,18355053,19137070,18842919,20280365,19890535,19937132
 "33000","New Hampshire",1,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",3842652,3896972,3946893,4163990,4310314,4812854,4807146,3955390,5071474,5023280,5170902,6035570,5738908,6926072,7101795,7381911,6616149,6792297,7158070,6608366,6223055,6147686,5898520,5800345
 "33000","New Hampshire",1,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",9098661,9686516,10074936,10312373,10905508,10814831,11819734,11677325,11706902,11879302,12221804,12392089,12607891,12294773,12589247,12189170,11877956,11275793,11186961,12526544,12622057,14141551,13999932,14144727
 "33000","New Hampshire",1,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",6265563,6115285,6361320,6782628,7032097,7420126,7415823,7576545,7187230,7599087,7809767,8204517,8252973,9064171,9459328,9610110,10563462,10940134,11353725,11590400,16328638,15472406,16646182,17063730
 "33000","New Hampshire",1,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",3572331,3556857,3668641,3820462,4060235,4129236,4101174,4500872,4209712,4413966,4589281,4745724,4864847,5269697,5433785,5635966,6340065,6667056,7005473,7332253,8731325,9720684,10586021,10875417
 "33000","New Hampshire",1,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",1150455,1015754,1049214,1230163,1215751,1417169,1183984,930332,890308,945265,944409,1077140,1013352,1179652,1221885,1232366,1320140,1293362,1386497,1421733,4585501,1991352,1973921,2018320
 "33000","New Hampshire",1,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",1530873,1508083,1606861,1711105,1725529,1854295,2127224,2143520,2089416,2244491,2280262,2380482,2375702,2613734,2806569,2742133,2903256,2979404,2966154,2850812,3237292,3744711,4053204,4138839
 "33000","New Hampshire",1,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",6031638,6328301,6664762,6962587,7131471,7399541,7559278,8077280,8421626,8373730,8464677,8368729,8516612,8635399,8979643,9226124,9411789,9689878,10024135,9756939,10035712,10531467,10850362,11312458
 "33000","New Hampshire",1,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",1409242,1471646,1591612,1682004,1631667,1650128,1674867,1751787,1855547,1832399,1795756,1780417,1805506,1821584,1885963,1913955,1873369,1941234,2016727,1914789,1936208,2091183,2116361,2190031
 "33000","New Hampshire",1,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",4638312,4871976,5097153,5308990,5514771,5759173,5893031,6330325,6574204,6548111,6670395,6590176,6712591,6814902,7094576,7312692,7538420,7748573,8007207,7842995,8101254,8440557,8735184,9124002
 "33000","New Hampshire",1,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",3062463,3196273,3310360,3500059,3540411,3501386,3344980,3036453,2991512,3184898,3319572,3416339,3720357,3712277,3851657,3965828,4160333,4445418,4580140,3395822,4251822,4660999,4808995,4776567
 "33000","New Hampshire",1,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",715654,752238,809002,907110,982006,1048178,911235,779164,751500,908703,956135,1000140,1059068,1076382,1033436,1063998,1106435,1212477,1410476,874889,1092634,1137855,1061821,1101101
 "33000","New Hampshire",1,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",2358211,2455515,2510636,2597431,2556132,2442875,2433108,2261073,2244879,2274975,2361607,2413395,2659592,2633483,2818145,2901754,3053898,3233064,3171154,2523201,3161997,3522927,3737877,3669786
 "33000","New Hampshire",1,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",2050939,2145441,2055194,2059878,2052738,2048745,1951767,1855161,1754867,1748809,1697297,1689723,1699805,1772113,1792178,1806132,1838891,1932452,1969006,1732175,1896246,2035271,1978497,1942497
 "33000","New Hampshire",1,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",8682077,8738610,8999192,9014423,9162049,9268488,9392802,9522356,9230049,9435397,9171408,8947299,8893923,8940251,8689285,8686579,8726880,8652673,8702273,8460033,8480233,8412010,8546031,8761994
 "33000","New Hampshire",1,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",289953,313451,332894,326648,301800,333466,304242,294685,260040,252210,220217,263716,258483,272578,315844,351586,336880,379054,380769,367495,308045,367520,416576,437854
 "33000","New Hampshire",1,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",10400565,10748775,11078475,10840369,11035025,11204567,10751642,10882939,10300546,10898878,10533313,10289822,10426187,10359635,10676339,10986029,11306188,11530753,11723451,12000219,12158251,11931256,12487719,12858681
 "33000","New Hampshire",1,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",2139661,2140929,2224990,2458662,2467713,2416786,2293672,2326348,2371351,2517681,2522125,2494809,2510627,2436781,2551265,2589926,2540325,2545907,2394505,2624225,2665640,2643003,2808188,2790059
 "33000","New Hampshire",1,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",6568276,6899249,7550910,8139128,8056450,8745702,9193998,9233661,8826394,9543810,9824876,9577572,10476134,10148289,10947024,11485609,11239704,11486137,12299226,12355760,13017165,13147603,12980571,12687563
 "33000","New Hampshire",1,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",9396870,9535990,10360602,10767041,10144483,10631286,10590462,9985146,9366067,10042827,10384936,10021686,10590249,9885855,10803770,11231840,11085338,11246983,11666339,11360014,12072221,11661214,11453810,11200169
 "33000","New Hampshire",1,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",43682514,45244437,46694628,48532581,50258216,51485670,51940568,51731082,51971119,53514474,53925651,55133769,56022263,58029594,59829117,60816646,61367353,62370922,64073252,63869082,69766824,71658801,73705518,75053313
 "33001","Belknap, NH",1,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",2734206,2802653,2824163,2821272,2817552,2709049,2758040,2605509,2569783,2593762,2675698,2688843,2794327,2686416,2777955,2887881,2883380,2957557,2891363,2897524,3031428,2997754,3171197,3313957
 "33001","Belknap, NH",1,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",2376699,2428621,2434041,2435210,2417147,2301468,2344596,2187416,2162752,2190533,2292336,2319028,2426117,2318281,2425522,2532468,2527129,2605529,2535254,2554001,2688489,2657466,2828324,2964663
 "33001","Belknap, NH",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),3240,(D),(D),2539,4163,6495,(D),(D),4537,(D),(D),(D),(D),3727,3836,4205,1806,4767,3526
 "33001","Belknap, NH",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",6371,7419,7128,5061,12398,13462,15620,10775,9912,8236,4399,7048,4931,6574,7814,12767,(D),22432,22787,18659,(D),(D),29872,29373
 "33001","Belknap, NH",1,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",(D),12736,(D),(D),(D),14796,14897,17402,15285,16253,17236,16008,17304,16421,(D),(D),(D),(D),20314,24187,(D),(D),19102,21157
 "33001","Belknap, NH",1,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),253614,(D),(D),179985,152964,179817,(D),(D),150440,152846,153067,162728,167050,161357,123030,152763,142252,110982,176335
 "33001","Belknap, NH",1,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",229829,200661,209516,219512,209619,206439,203207,193969,187490,188216,205097,222360,231027,199847,202106,212748,218210,230662,225184,204720,212062,198934,187376,186711
 "33001","Belknap, NH",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",(D),178217,(D),(D),192693,191394,186651,182389,175531,176886,194013,210898,217243,186174,(D),196970,(D),(D),(D),(D),(D),178700,167728,167521
 "33001","Belknap, NH",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",(D),26562,(D),(D),18231,15647,17797,11460,11989,11278,10910,11231,13652,13646,(D),15790,(D),(D),(D),(D),(D),20402,19845,19354
 "33001","Belknap, NH",1,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",68297,68409,72429,89989,100726,109098,112938,113271,105685,108695,107914,102016,109570,117147,125304,140224,140716,143950,141682,142930,154184,125682,122645,121487
 "33001","Belknap, NH",1,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",263545,291659,319414,286680,272669,249828,248370,258752,228643,214855,210986,204158,228556,233161,252549,279371,308319,319734,328200,317399,302690,297530,333524,370687
 "33001","Belknap, NH",1,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",52571,49839,48353,51429,47753,45549,42889,42829,39279,38357,35832,33438,35736,37065,39885,39919,43173,43322,42232,43187,50446,47362,45557,42465
 "33001","Belknap, NH",1,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",16634,(D),22661,26869,32411,37266,33933,35036,40089,38722,37678,36556,40375,34790,41839,45092,42096,46492,63153,59219,64476,70272,73419,103535
 "33001","Belknap, NH",1,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",723934,752627,715107,673228,699419,617279,696882,571026,607103,650358,704565,690046,768041,664794,693653,741483,675989,684602,611058,774583,645037,718945,834019,831983
 "33001","Belknap, NH",1,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",257353,275011,226511,172487,180160,78196,76101,66883,86544,81765,85528,80423,74018,78234,76720,82551,84642,83117,89786,85370,80979,91368,97957,96800
 "33001","Belknap, NH",1,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",478439,490786,497848,506666,525481,540053,621270,504868,523749,569954,620057,610150,692781,586741,616772,658799,591348,601554,520623,689164,563845,627299,736266,735455
 "33001","Belknap, NH",1,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),220551,223584,224988,217906,234398,237334,241218,240555,252175,272170,264770,272965,280148,261268,298669,455366,369410,396309,403224
 "33001","Belknap, NH",1,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",144027,145158,133178,120732,121591,120867,119815,123143,112057,126261,130243,137243,128167,132420,138754,130496,132195,136110,130695,157910,163619,175510,187341,191330
 "33001","Belknap, NH",1,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),35846,31813,30084,33376,32208,32470,31411,39037,49139,55805,62056,68412,75467,64815,69839,221864,87033,91699,84815
 "33001","Belknap, NH",1,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",42800,44954,45419,53973,62074,65041,73553,73494,73846,77747,76379,74337,74495,71002,77966,72270,72358,68661,65607,70628,80872,103193,112895,120852
 "33001","Belknap, NH",1,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",221988,231577,239465,250806,250169,255990,254518,270171,274283,276080,275906,283892,288495,294298,(D),298708,300088,(D),307148,283582,(D),(D),308878,321100
 "33001","Belknap, NH",1,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",30025,30780,33172,35284,31409,30426,29336,29909,30093,29210,28840,29132,27276,25748,(D),26731,27004,(D),31558,28893,(D),(D),26491,27459
 "33001","Belknap, NH",1,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",193043,201816,207600,216984,219632,226226,225727,240700,244605,247177,247339,254998,261311,268550,274061,271976,273084,269712,275557,254664,261020,268776,282483,293742
 "33001","Belknap, NH",1,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",205676,211693,220599,237017,214065,181962,175932,174541,173084,175837,192458,207707,229446,226076,235283,233769,237507,251086,257755,185436,245498,264751,282374,276772
 "33001","Belknap, NH",1,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",56780,58923,65474,66829,46133,34607,31210,37357,35031,39578,44821,49975,53161,49646,44938,44337,42757,47803,57591,32887,43878,48486,57387,58736
 "33001","Belknap, NH",1,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",147099,150880,152777,168058,167627,147594,145174,137126,138118,136115,147396,157388,175992,176233,190320,189414,194751,203295,200259,152719,201843,216550,225710,218914
 "33001","Belknap, NH",1,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",104109,109705,108868,100961,99478,98061,92906,85821,83095,85564,84136,82243,79714,83662,81673,84195,88347,91814,90870,77349,89685,96686,96314,93560
 "33001","Belknap, NH",1,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",349818,367721,386159,381528,398000,408319,414014,421386,409820,405564,384293,370129,368087,368206,352430,355412,356251,352096,356079,343753,343561,340912,342909,349046
 "33001","Belknap, NH",1,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),18176,(D),(D),13627,13259,11231,(D),(D),11127,(D),(D),(D),(D),26633,22553,(D),(D),34587,32988
 "33001","Belknap, NH",1,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",337052,366646,399331,380670,375725,359575,361571,372658,334562,323413,318729,306076,338150,350182,377763,419453,449035,463665,469678,460249,456505,423315,455896,490580
 "33001","Belknap, NH",1,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",(D),61309,(D),(D),(D),59627,57264,60025,54280,54538,53226,49588,53199,53570,(D),(D),(D),(D),62544,67315,(D),(D),64688,63638
 "33001","Belknap, NH",1,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",242866,(D),229918,244527,241206,243434,236607,228773,228043,227221,242544,258185,270914,234201,243942,257864,260306,277136,287715,263266,275622,267083,257248,279025
 "33001","Belknap, NH",1,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",511824,475634,479958,498913,470563,463999,444755,389845,376063,352878,392504,425926,394730,361128,(D),(D),(D),(D),413127,349653,(D),(D),333592,399650
