GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "32000","Nevada",8,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",116267250,120180066,125905375,139372999,150680865,156297854,157734325,152745628,140304326,142614154,144341195,142986066,144549285,145303555,151055866,156007391,163199058,168638546,176029722,165924814,182618342,194463904,201158603,207351867
 "32000","Nevada",8,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",102620949,106250484,111125305,123779994,134744376,139791006,140787899,135488447,123198217,125311424,127378921,126425926,128088027,128746242,134231836,138644364,145653316,151043325,157873707,148115414,164537820,175765072,182123643,187131364
 "32000","Nevada",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",261083,241316,229493,251028,300505,329975,215758,277584,327321,302340,300813,231683,212875,297525,284482,273511,285115,299537,365074,332925,343969,357281,318772,354188
 "32000","Nevada",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",3240905,3246410,3473209,3616094,3393222,4462675,4325455,4477641,4010058,4884544,5546114,5026410,4247929,3401714,2811734,3276732,4027741,3367180,3496243,4471871,4254538,3263792,3160114,3395129
 "32000","Nevada",8,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",1936092,2102928,2091636,2362739,2106821,2303009,2345058,2437117,2380316,2514506,2413054,2494842,2479652,2403928,2472919,2478108,2383429,2248915,2338740,2369432,2165773,2633768,2806334,2644462
 "32000","Nevada",8,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",12326378,11835112,12899629,15480742,17889932,17574855,16401980,13247388,11081082,9496545,8391859,6341109,6241986,6803159,8047762,9126938,10717362,11614305,12886717,13639937,14007614,13396279,13934838,13874551
 "32000","Nevada",8,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",3068941,3364705,3738356,5021023,5536312,5730707,6712295,6764302,5708486,5456928,5622732,6259093,6368670,6260129,5807202,5951366,7080999,7400997,7650782,7591276,8257568,8618690,8453976,8641431
 "32000","Nevada",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",1668732,2023051,2301596,3415752,3936640,3986726,4887543,5068220,4105870,3952441,4186380,4873221,4815992,4543826,4135755,4126279,5087838,5299412,5520946,5488469,5954355,6111720,5888178,6006395
 "32000","Nevada",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",1528985,1439616,1534057,1662485,1625710,1787912,1835326,1684375,1610092,1509809,1437529,1385880,1552765,1717020,1671863,1825042,1993161,2101514,2129618,2102335,2302768,2503269,2560059,2629262
 "32000","Nevada",8,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",4929241,5084267,5296506,5881598,6444782,6517330,6587239,6508632,5440660,5366840,5386013,5571514,5628887,5919838,6215519,6505244,6999035,7354866,7381452,7414818,7342167,7344129,7464650,7480534
 "32000","Nevada",8,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",7572416,8056802,8171541,8882377,10136969,10223928,9738142,9073689,8131291,8414894,8706931,8737962,9258987,9695821,10180155,11129979,11811519,12501824,13140412,12913697,12817960,12866770,13808647,15149478
 "32000","Nevada",8,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",3420301,3656793,3747063,4758530,5248305,5511942,5535412,5667686,5550524,6302952,6143006,6243765,6145642,6523493,6793801,6988633,7430445,7499051,7635177,6027551,8185426,8746900,8857922,9226556
 "32000","Nevada",8,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",1654481,1761452,1771552,1998259,2381670,2347420,2508498,2576303,2790098,3059148,3060230,2980406,2805752,3367890,3594051,4136269,4194334,4628920,5470764,5301170,6609657,6619122,7996669,8932984
 "32000","Nevada",8,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",22411322,23637498,24494525,25804317,28704909,31098269,32824554,32495348,30381892,29897827,30673045,30623081,31203001,29724803,31873641,31189661,31854607,33543679,34732524,35603955,38521157,41472722,41750624,42616977
 "32000","Nevada",8,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",7417406,8393190,7969186,8064644,9196977,8359455,8092534,7430318,8009431,7611635,8046091,8749238,7873874,7670153,8518522,8681728,8383854,8724927,9600566,10304196,11330692,11566078,11144284,11349962
 "32000","Nevada",8,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",14964403,15252342,16495499,17698750,19470810,22638616,24590600,24880987,22353415,22218855,22595459,21954265,23273197,22019256,23341814,22512495,23470753,24821536,25112171,25268182,27154187,29897570,30625117,31287974
 "32000","Nevada",8,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",10193736,10593604,11779819,13194622,14402164,14716123,15119464,14935821,13225188,13612214,13826672,14398383,14536441,14902096,15401275,16545781,17375454,18820790,19315971,18639014,22136949,25283303,26468125,27083963
 "32000","Nevada",8,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",5274876,5805154,6297260,6842086,7208817,7432454,7355734,7587068,6846236,6818196,6894900,6986291,6902070,6861426,7073376,7323973,7786152,8074198,8566294,8454099,9932800,11076821,12066952,12579096
