GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "36000","New York",2,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",1240755230,1228580763,1236563061,1269433125,1301438005,1339568524,1353798930,1328095698,1379504556,1431624004,1440346783,1496280128,1501818048,1535375930,1565835160,1590567799,1624800665,1665186762,1704364321,1667234838,1750551186,1781554113,1793384525,1840059266
 "36000","New York",2,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",1081946407,1070368517,1077256774,1107549063,1138631145,1178604552,1190203652,1162788729,1213944175,1264197280,1274975151,1332998681,1335094270,1370960492,1404226554,1429759357,1461067182,1490874777,1528457899,1498443052,1578567871,1610211803,1620466188,1664227789
 "36000","New York",2,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",2253898,2062683,2068435,2235831,2556046,2632082,2452242,2640075,2514704,2817633,2545747,2297302,2441006,2628354,2494149,2677348,2819216,2654858,3061129,2954224,3017278,3302599,2705106,2999838
 "36000","New York",2,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",850828,799901,839196,870726,783554,904137,936934,979843,921144,847731,724885,724283,657078,693052,677590,755359,688361,716613,738175,799363,765002,620684,708679,841082
 "36000","New York",2,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",17598768,17859543,18228554,20337899,19089633,19134391,18816210,19463763,17612549,20711372,21151799,21546240,21514403,21022335,20789022,21519847,22186792,22814254,23200101,26431929,24339786,22786529,21939510,23135488
 "36000","New York",2,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",50063512,49303298,49818932,49125101,47005230,45231833,47378379,48326535,45885802,43255403,41815433,42610841,44446116,45468663,48804308,51969353,53737510,54280347,54140738,49029061,49583181,44866332,43942708,44878416
 "36000","New York",2,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",67168002,69959695,69850583,73363099,74543625,79444543,79536825,76229302,74323778,75095802,69362564,66261180,66749536,68288502,70210615,67970632,69419592,68167854,71012380,68445443,76900868,76735489,75121211,75741217
 "36000","New York",2,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",26050723,26843729,26657345,28100487,29804742,30443760,32267940,33477563,29052117,31485373,33042003,33513706,35064223,34606968,34490102,33207541,34319219,34191743,32990906,29850101,30645657,31294087,29767811,29241033
 "36000","New York",2,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",42334321,44547121,44694522,46790752,45738628,50588332,48208591,42910914,46162710,44178152,36428799,32728455,31607057,33652019,35718974,34763944,35100372,33977844,38012443,38592501,46177617,45400532,45293310,46451914
 "36000","New York",2,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",60063319,60825243,64976857,67864352,68857168,70327786,72989741,70205451,62661425,68055464,67583037,69580870,69968907,71270692,76127251,73014622,72209175,72092852,71303278,68938407,63615809,62082756,61007963,60293019
 "36000","New York",2,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",51847358,54936482,58516894,61340273,62382738,61858317,60787657,59973327,58515682,62133916,63938135,63683711,66967359,68706295,70889523,74087518,77327356,79661542,81805968,74820976,74044979,72049853,79949935,87604581
