GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "39000","Ohio",3,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",534612360,546688202,557024452,572308497,584867668,582637629,585402954,580389046,550982383,563816266,580251353,586540926,603057362,624973400,633274797,638157483,652187459,656212004,674063934,655730074,691629995,694473369,707996246,721997309
 "39000","Ohio",3,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",462169376,473930961,483915737,499050507,511898830,510598879,513588572,508118913,480160189,491459304,508897238,515243904,532720178,555177682,564114948,568138678,581511253,585712937,603203401,586870430,621727663,622570228,636199252,648186331
 "39000","Ohio",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",2452845,2455858,2510944,3065863,2846908,3139076,2759458,2698762,3799019,3225557,3657382,3036515,3743424,3475037,2985243,3115965,3645648,4336572,3143050,4241100,4900545,4338704,5252725,4871788
 "39000","Ohio",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",2167891,2542129,2103831,2049689,1896856,2016556,2096469,2005166,2434988,1991422,2055820,1964655,2663085,3602803,5254176,5045187,4325604,4155499,5086964,5952189,4460209,3329379,5225920,5350596
 "39000","Ohio",3,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",9450732,9186211,8460843,8435344,7869877,8258756,9484525,10048791,9505448,10473358,10671244,10846548,10768021,10357930,10531476,11065019,10643514,10318598,9993792,10475895,10149884,9842997,10451884,10843889
 "39000","Ohio",3,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",30592962,29068135,29054309,29354015,27266395,24503187,23038145,21301777,19386111,18172196,19297346,20822531,21513664,21808248,22497808,23348747,25111079,25069911,25609371,25303690,25555106,23782401,23601890,25526886
 "39000","Ohio",3,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",94184115,96831573,99106236,105754258,106807965,107984298,108153031,100243336,83125685,89842498,96599329,93684617,96739931,105481481,101724843,101233770,102938680,104011444,103648278,97344979,105947669,103697028,101619953,105056999
 "39000","Ohio",3,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",54415991,55590265,57332991,62350713,64994810,65315173,64639813,61218705,40099419,47285802,54232435,55137669,56173207,58448886,58158384,57809648,59661022,57277281,57696544,52201827,56240837,57108399,56294131,56093755
 "39000","Ohio",3,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",39487562,41080249,41461860,42683161,40454817,41392301,42402434,37759109,43415289,42562248,42335693,38679538,40650880,47012155,43573228,43433429,43277658,46688683,45915354,45155023,49680756,46779959,45551387,49109443
 "39000","Ohio",3,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",32642970,32849508,34278000,35257276,36511265,37739834,38584048,38735332,33414433,35122134,35219545,35990446,37193372,38957247,40354366,40303139,40823185,40757984,40875490,41184606,40713805,39419627,38303967,38208829
 "39000","Ohio",3,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",34632065,35804547,38022125,37767170,37436283,35055384,33880459,32580704,31541573,32397474,33042048,32662036,34433152,35581842,37507782,39138238,41380386,41091568,41957680,41953947,41764383,39586425,43329640,47257828
 "39000","Ohio",3,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",15805947,15428781,15948468,17080281,18358617,19236472,19044507,18704902,16779869,17045185,17817523,17462517,17758241,18627067,20784531,20513907,21206088,21934394,22346313,22559291,23896300,21924212,21471757,21877801
 "39000","Ohio",3,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",8837812,10097264,10508051,10840736,11426750,11228374,12095015,12926484,13586426,15324177,16051039,15577814,16503048,15259441,15682128,15987503,16839925,17052680,18491787,17986735,19881361,20996108,22329871,22857720
 "39000","Ohio",3,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",103918395,107905079,108593064,111226717,121777829,119730960,122400615,122418255,125048747,121517108,122410602,125387795,128109587,133756298,136495688,136275631,138907411,138079359,148597607,146468685,156634871,160194627,163939120,162236723
 "39000","Ohio",3,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",42588340,46133717,46328837,48019411,55066498,52459836,49798191,48262002,54488096,50032975,50848366,53211170,52711690,59422067,63263589,62190536,64314440,62239919,73887071,72076466,77742859,78562768,78271409,74959038
 "39000","Ohio",3,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",60750830,61303658,61788370,62736630,66267592,66801266,72072985,73568466,70600530,71076564,71205092,71937314,74998864,74214685,73251040,74076792,74592971,75880161,74503855,74202433,78684715,81463330,85616472,87398996
 "39000","Ohio",3,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",51343648,52813659,54535640,54902674,57192277,58049452,58882862,61648881,57222981,59928641,63377088,67660630,69356682,72291900,71830436,72116161,74558110,76979036,80163889,79323166,87871829,94289230,97189751,98544730
 "39000","Ohio",3,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",24346409,24578549,24483001,25064603,25472613,26443420,27437597,29555325,28188754,28719459,30507362,30137173,30553817,31422664,31960461,32934708,33697450,35483993,37184668,36354784,41006052,44511271,47241077,48224346
 "39000","Ohio",3,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",13265646,14837898,15621280,14727197,15380421,15330874,14160189,14618719,13227257,14253357,14951444,18362915,18950031,20351490,19570645,19932505,20931003,21433466,22935146,23995139,25349587,26582869,27223818,28578844
 "39000","Ohio",3,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",13735559,13643061,14751027,15292226,16553014,16458150,17513320,17679104,15990409,17140269,18121742,19207569,19906877,20534781,20333019,19251731,19929657,20062417,20081066,19114209,21559496,23183519,22828381,22100040
 "39000","Ohio",3,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",45140125,46357978,47940086,50137581,50767040,52952615,52103176,54780997,55632040,55753273,56688125,57658160,59051786,59788528,61373026,62480864,63158290,64026943,65293546,62926116,64559563,67365801,70005309,72645717
 "39000","Ohio",3,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",5323111,5275778,5541034,5886557,5826628,6117217,6066417,6395021,6769636,6888574,6894564,6705961,6448744,6388523,6202482,6262818,5966021,5916967,5965274,5407963,5449994,5828039,6180485,6251960
