GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "40000","Oklahoma",6,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",125695701,127930241,130147794,134606646,140360102,149367146,152879572,158987754,156856808,158086399,163859302,172016039,176086805,186574444,193792588,190093471,192538613,196030507,200072209,191376979,194991214,194170854,207072700,210315910
 "40000","Oklahoma",6,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",100949535,102600474,104733833,108899597,113666740,121779105,124578555,129753347,127351997,128143716,133852586,142636724,146636573,156988185,163961340,160257673,162346346,165508195,169098571,160194356,163559199,161631169,174580793,177328123
 "40000","Oklahoma",6,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",1800713,2274693,2119926,2517441,2808149,2318624,1812842,1942409,1635622,2208082,2176667,2377275,2161807,2351164,2897383,2712986,2808600,2936249,2733342,2055618,2571847,2391151,2997539,3094661
 "40000","Oklahoma",6,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",6893160,7573518,7328086,8098929,8573448,10240941,11214064,11484340,13535451,12306371,13028379,14038002,15468104,18964589,23058732,22468633,23559793,23862309,25935507,22974567,17295126,15706024,21323910,19840332
 "40000","Oklahoma",6,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",3168208,3006273,3086116,3155009,3041440,3209225,3443389,3746092,3206685,3743620,4068274,4528920,4314881,4400429,4099651,4223734,3935960,3827787,4178579,3811505,3586436,3870521,4043751,4047361
 "40000","Oklahoma",6,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",7675055,7201189,7172345,7099399,7036727,6969398,6746646,6964303,6995663,7487688,7693098,8087879,8276241,7901105,7787553,7422976,7165655,7218077,7348265,7253231,7265987,6585622,6570434,6972642
 "40000","Oklahoma",6,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",14398845,13510142,14984658,15186784,16023830,18316025,17853464,21041859,16981759,15691708,16862300,17767336,17095505,17838019,17366337,15550200,16541938,17724754,18530538,16562161,17163563,16547383,17220083,17960947
 "40000","Oklahoma",6,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",8572202,7965113,8245907,8731269,9441101,10220764,10809937,11784442,8900662,9309051,10587178,10652728,10978767,11142897,10114290,9243390,9848977,10871185,10823586,9178172,9288918,9559564,9883610,9916767
 "40000","Oklahoma",6,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",5787205,5524479,6829210,6485465,6584937,8117303,7079325,9267823,8116521,6384131,6330463,7084486,6200260,6748120,7250633,6307525,6692960,6865017,7699745,7414397,7908382,7071315,7417711,8131786
 "40000","Oklahoma",6,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",7302600,7634418,7728024,8182306,8405252,9039674,9368431,9521308,8126217,8545859,9424197,10578806,10801478,11093874,10743553,9936821,9695865,9718178,9705015,9341251,9246478,9098691,9196176,9168831
