GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "41000","Oregon",8,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",144486532,147432841,154445322,163046121,168734422,177222425,180724295,184842595,176951635,180738194,185959404,187352391,189609749,195808217,205581804,214769301,225534544,234308332,239794808,236651446,250919851,254237474,258023377,263347671
 "41000","Oregon",8,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",118360785,121209524,128212560,136761162,142340995,149956024,153492469,157022223,149173648,152919978,157509794,159963077,162616386,168388182,177774391,186487389,196397481,204395600,208693171,206455813,219767569,222455179,225946352,230463754
 "41000","Oregon",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",3439949,3793071,4048986,3981735,4261056,4846453,3710046,3615703,3824556,3324322,3094777,3226863,3235407,3391915,3955793,4462440,3885258,4382710,4156418,4466435,4176743,4138321,4367449,4613321
 "41000","Oregon",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",396662,423413,435244,461353,434147,430496,491585,336399,300171,235298,207546,175420,187618,194210,192038,258992,262344,266323,246767,291077,305857,280809,255612,262937
 "41000","Oregon",8,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",2122849,2211701,2076102,2279541,1996383,2124336,2020474,2592724,2242255,2799141,3449869,3293164,3108838,2802883,2647033,2989097,2971990,2692863,2883389,3255793,3292446,3213306,3463849,3774093
 "41000","Oregon",8,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",10332022,9521562,9277456,9727735,10177427,10756697,10882090,9844142,7819848,6763878,6629410,7353796,7718977,8047304,8338207,9243155,10077288,10897457,11230123,11422482,11668811,11252513,10977266,11279109
 "41000","Oregon",8,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",12056834,13525199,15870096,19081690,19568738,21683377,22805278,24620024,23181536,24596301,27168615,26168434,26892973,26905356,28341395,29010592,31143714,31822590,31268927,30859850,32345030,32389293,30168599,30655163
 "41000","Oregon",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",8037679,9140357,11398746,13843935,14181787,15863296,16921551,19107559,17325626,19146279,21773665,21171584,21324230,21213505,22267228,23086531,24770169,25044006,24830033,24084059,25509326,25876461,23928674,24421735
 "41000","Oregon",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",5202425,5548129,5058728,5799005,5977487,6352944,6282305,5509475,6063384,5514710,5369060,4950276,5556569,5688878,6074296,5924217,6373546,6778564,6440981,6766650,6830561,6506376,6227352,6228079
 "41000","Oregon",8,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",10494557,10688718,11474746,12389437,13012635,13338149,13825311,13721150,11767624,12287089,12159174,12623775,11051929,11310217,11876731,12192650,12467920,12663816,12871040,13115293,13140292,12390863,12047248,12085087
 "41000","Oregon",8,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",8816750,9192372,9571680,9690065,9964293,10308713,10063473,9533013,9050379,9389409,9210804,9343940,9828658,10151603,10922887,11777265,12849536,13532358,14013035,13824847,13738665,13225191,14517525,15786672
 "41000","Oregon",8,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",4824741,4702228,4958764,5460549,5802844,5913591,5853503,5705810,5212774,5492710,5438699,5640152,5672892,5932599,6118766,6366092,6766657,6921940,7010389,6554606,7609909,7234730,7321726,7474804
 "41000","Oregon",8,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",3231396,3261347,3433973,3855375,4113708,4416476,5020492,5427339,5312480,5634978,5774556,5738327,6011934,6337950,6955444,7260038,8229416,8758539,9565789,10184547,12074802,14093250,15559778,16376001
