GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "42000","Pennsylvania",2,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",577677457,583507433,598809508,614957107,626290144,626589933,649638062,665148308,645206702,666805833,676468333,689007041,704195021,718691570,734145090,744847129,754318029,763855357,771852456,738176117,766139991,776824743,789918494,803232536
 "42000","Pennsylvania",2,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",504139197,508656761,522822800,537661935,548836028,549323634,571657206,586564221,567544372,589136780,600489364,614837825,629432058,644888711,660989857,671327384,681400804,690933542,698916449,668254518,697095435,708720485,722296188,734897916
 "42000","Pennsylvania",2,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",3130006,2805399,3222627,3477155,3781194,3850297,3221422,3034569,3169035,3220494,3019388,3049553,3119084,3633162,3486061,3223734,3615061,3402286,3623787,3191170,3477279,3919195,3275217,3638899
 "42000","Pennsylvania",2,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",3577843,3354762,3448932,3390437,3506982,3609654,4148328,4170289,5183338,5889131,6978827,8032167,7652280,10234377,11237732,9614800,9862333,9805555,10874472,11414406,10913937,10112035,12777980,11810520
 "42000","Pennsylvania",2,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",11932427,11930204,11310465,11353321,10705658,10707759,11302604,11566043,10883908,12391116,13052699,12845854,12533400,12004042,12464108,13200426,12536306,12013001,11844998,11972685,10873215,11085971,11644626,11827224
 "42000","Pennsylvania",2,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",34238747,33493712,33396435,32231925,31067555,30256156,29616416,28574296,24258365,26487667,27840172,27957904,28198993,28477379,29052449,29198261,30059399,30425585,30646351,28088102,29135025,26987371,26731919,27499326
 "42000","Pennsylvania",2,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",89725958,90417927,90057148,86844223,84489238,86152742,87397080,85770041,78425010,78929836,77431524,77343405,82244808,86894928,85558777,84461262,86996041,85379324,88043448,85574434,86400975,83463210,84374041,85628152
 "42000","Pennsylvania",2,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",35090675,33952074,34373957,36664553,38221975,40293367,39920251,41586053,35937251,37787207,40864460,41171199,43370424,41769639,41598715,39531951,42628535,43278099,43954465,41394525,40694367,40768329,40687422,40321494
 "42000","Pennsylvania",2,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",56896082,59175599,58224176,51649506,46992611,46255164,48128296,44278792,42890815,41388478,36563173,36158342,38860954,45130479,43962154,44940445,44367505,42113003,44098779,44184949,45686590,42750910,43720287,45322697
 "42000","Pennsylvania",2,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",33938248,34906516,37583248,39467142,40913509,41740366,42244777,42020203,37369450,40041644,40964726,41671393,42260699,43558038,44589992,43143444,43340880,43049835,42540101,41985949,41007263,39352573,39220679,39258331
 "42000","Pennsylvania",2,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",34104663,35326445,37636497,37553363,37805305,37171702,35793588,34461813,34096264,35391661,35362783,34633135,35672390,35668092,37248145,39500027,40928001,42468067,43731116,42921407,42831963,41265670,45837945,50328463
 "42000","Pennsylvania",2,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",18105289,17542883,18705303,19991179,20675843,20830854,20459271,20066211,19237712,21068735,21965991,21863858,22202936,23170920,25659686,27212637,28254457,29607764,28595776,26433017,28586066,27535496,27600849,28379873
 "42000","Pennsylvania",2,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",10639419,11546924,13467112,18606098,20861139,17818557,26450820,35760998,32882150,35376267,34950222,38108423,42122711,39835203,42394633,48749606,46509531,46712514,46274815,43073270,47122579,46839060,43728127,44050682
 "42000","Pennsylvania",2,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",116274443,113437858,114251117,115170409,120196177,119870423,126217907,126216017,130234659,132915784,136228061,141481758,142093321,144886563,146327532,146100035,146472554,147297756,144239622,142314692,146993327,154084255,155412693,155850401
 "42000","Pennsylvania",2,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",47138698,43588324,42976033,43337908,44471240,44697803,45244693,42460817,46900922,44664257,45546430,47311287,46130217,49085593,50942618,52100974,51882382,52119292,52755062,50456658,51287303,54326941,54068761,54531747
 "42000","Pennsylvania",2,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",69594280,70129784,71505545,72065365,75943409,75401320,81162346,83808497,83724373,88243346,90652946,94140918,95851282,95757515,95370958,94000422,94590173,95179752,91440211,91837849,95696464,99735434,101330507,101299076
 "42000","Pennsylvania",2,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",60088392,61563527,65332042,68348740,71918126,73543877,76992808,80580562,76864454,80189343,83222486,86522586,88092469,90468428,92981574,94226451,98221327,102127941,106787462,103122985,116028224,125055773,127000734,128278594
 "42000","Pennsylvania",2,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",36706764,37764193,38855867,40979035,42355103,43377084,44216993,47487350,45801624,46510225,47642216,49212278,49524530,50613209,51832590,53935391,55584347,57731347,60611404,59523683,66433275,71894480,72970818,74378383
 "42000","Pennsylvania",2,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",9756216,10331630,13091616,13162375,14431877,14893009,16343354,16636645,15811983,17056642,18238022,20007420,20909287,21780216,22767307,22176575,23310327,24154566,25579405,24874936,29076189,31022551,32373300,32796171
 "42000","Pennsylvania",2,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",13451341,13363778,13640785,14411938,15379208,15527306,16692786,16727174,15497081,16849691,17532019,17368587,17684560,18080909,18366006,18115919,19326653,20240656,20615369,18787676,20703071,22305653,21997438,21544813
 "42000","Pennsylvania",2,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",63783286,65728872,67407939,70918328,71572630,74346343,74356593,78508146,81082606,81411789,82828277,83322643,84483161,85510791,88062866,89747670,91284317,94242259,96865747,94103981,95271529,100248485,103747852,107466528
 "42000","Pennsylvania",2,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",14707454,14668163,15098568,15783085,15634094,15863364,15796542,16617187,17982039,18394198,18366869,18194161,18020665,17834788,17891563,18358630,18100474,18662857,19079212,17780719,17943746,19006743,19346935,19872826
 "42000","Pennsylvania",2,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",49255720,51153304,52414386,55228874,55989294,58487154,58556040,61879935,63172447,63123171,64537368,65183231,66492184,67689071,70172881,71392498,73183843,75579518,77787968,76337942,77343878,81256070,84420833,87616094
