GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "44000","Rhode Island",1,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",49705159,51284341,52933114,55160485,55885918,57415808,56230541,54977076,54481456,56050592,56026561,56487375,57037208,57602681,58387945,58629978,58771553,58740143,60157586,58132267,60660011,61517303,62119264,63459122
 "44000","Rhode Island",1,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",41317457,42813942,44272284,46250372,46913814,48422080,47297653,46195500,46187485,47706472,47665566,48310084,49037047,49723178,50590806,50802903,50664080,50672546,52072282,50298642,52649790,53731813,54280142,55562509
 "44000","Rhode Island",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",168623,171847,166100,145321,142028,155779,115766,129514,137798,132237,112871,101847,92537,91365,112201,114226,115985,112171,109682,120536,114139,119674,120849,128081
 "44000","Rhode Island",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",39169,49334,47109,56487,42856,37390,38874,40427,38233,24197,16354,21087,18112,42597,59139,57158,56588,43389,40505,44650,53964,55509,67633,68971
 "44000","Rhode Island",1,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",746468,613638,653461,690899,663132,738593,719782,804605,750677,838623,821145,817833,835734,812366,857321,891863,887115,896289,913836,982925,928559,947265,1029233,1107780
 "44000","Rhode Island",1,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",3242318,3153619,3452850,3501874,3475332,3350625,3173433,2794587,2514856,2439648,2320509,2362117,2223884,2103141,2077023,2124177,2117149,2247356,2322706,2202292,2233880,2056953,2073408,2184364
 "44000","Rhode Island",1,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",4607417,4907148,4559581,5104986,4604088,5207296,4601582,4618846,4114207,4314126,4216288,4149868,4542745,4350877,4774272,4773122,4696374,4894544,4631325,4782177,4810952,4534801,4480317,4494385
 "44000","Rhode Island",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",2972406,3151806,2831365,3356832,3042072,3153242,3032115,3082959,2698610,2805496,2776016,2689652,2854157,2647111,2944098,3128036,2913254,3049050,3104928,3015984,3139848,3061064,3129288,3053119
 "44000","Rhode Island",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",1648083,1774270,1779506,1741159,1550724,2132493,1562825,1518041,1408398,1504345,1432435,1455395,1687337,1705842,1831438,1644369,1783120,1845557,1527576,1768334,1675484,1485440,1372079,1455754
 "44000","Rhode Island",1,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",2599295,2734332,2901515,2911522,2974921,2936952,3003055,2931167,2689657,2946692,2981355,3140848,3231932,3293270,3429230,3302257,3265698,3221115,3199961,3143628,3058433,2935004,2829624,2799181
 "44000","Rhode Island",1,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",2939212,3230351,3455713,3448841,3413230,3294947,3180284,3026499,2878458,3052532,3014757,2968270,3049806,3055436,3177121,3264521,3397170,3597318,3765149,3773436,3640281,3482710,3822626,4226438
 "44000","Rhode Island",1,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",838261,863072,910892,932628,969831,1000077,945549,962831,923480,947869,971632,1012161,985581,976274,983635,1001245,1032748,1051699,1056173,937159,1019247,1073930,1092463,1109343
 "44000","Rhode Island",1,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",1030553,1200520,1313287,1561743,1586618,1644290,1502826,1679107,1675172,1774204,1830604,1677749,1657944,1657837,1701108,1699131,1404956,1397024,1546005,1532736,1711250,1846677,1975574,2008968
 "44000","Rhode Island",1,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",11071625,11042647,11184824,11717581,12581116,12865435,13529769,12097172,14019523,13899882,13999914,14478675,14253133,14761422,14299760,14399346,14138590,13252472,14158590,13828639,14320870,14767100,14780769,14961169
 "44000","Rhode Island",1,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",4337001,4297903,4121908,4313654,4460042,4823508,5167926,3777005,5713062,4956498,4938932,5564971,5144535,5847123,5847301,6116869,6070253,5550011,6277834,5512181,5516663,5550633,5482454,5438083
 "44000","Rhode Island",1,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",6717139,6725138,7027608,7366731,8074385,8003514,8324594,8240871,8375789,8909830,9021699,8914493,9087441,8907922,8449173,8282136,8068338,7705244,7873589,8319751,8810458,9227766,9312432,9542653
 "44000","Rhode Island",1,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",4506909,4609645,5168622,5239095,5403141,5739375,5601642,5871689,5432867,5823410,5874979,6163487,6504095,6855623,7063252,7178072,7508474,7806730,7767207,7880474,8931001,9480963,9387286,9465751
 "44000","Rhode Island",1,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",2363028,2483336,2561855,2666958,2679038,2931755,2808710,3014422,2855666,2963681,2965825,3012560,3109643,3228157,3347162,3331862,3483669,3652583,3788656,3754723,4358663,4792988,5024971,5278895
 "44000","Rhode Island",1,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",1003961,1021404,1502983,1328212,1370307,1442779,1368502,1424878,1231642,1384760,1424696,1606048,1762742,1956907,2029747,2158106,2221690,2237855,2047122,2254707,2534105,2496038,2144967,1945999
 "44000","Rhode Island",1,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",1120325,1084503,1149121,1263789,1376341,1384643,1449052,1455028,1373362,1500716,1507912,1560113,1643040,1674800,1688748,1687676,1803115,1915405,1924815,1877380,2048961,2186077,2178217,2183774
 "44000","Rhode Island",1,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",5952537,6289248,6510543,6796683,6965639,7152146,7069529,7366270,7534902,7747818,7695005,7596025,7707087,7792060,7966188,7857101,7841389,7928472,8166075,7698218,7854593,8331916,8601578,8930334
 "44000","Rhode Island",1,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",1529952,1547723,1592877,1694350,1686032,1733134,1747129,1835464,1951779,2017356,2025737,1922604,1914511,1944600,1966448,1907820,1903921,1956004,1974589,1813524,1822936,1975035,1987050,2045029
