GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "48000","Texas",6,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",1020517032,1042584367,1052132349,1111189147,1143413077,1225147261,1288828678,1287191538,1285560204,1323059067,1370174901,1438354410,1511806546,1559636095,1634127089,1633863306,1667313043,1746543257,1806736077,1782738226,1905512407,1975164033,2137536692,2221943292
 "48000","Texas",6,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",882161306,899737612,906629794,964914343,994385681,1072793290,1131821315,1126142739,1120507022,1154947259,1203107385,1268910679,1341220622,1387914201,1459773859,1454864246,1484755038,1563123622,1623040285,1596461144,1718128534,1787775308,1947481176,2025978482
 "48000","Texas",6,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",7838584,9402706,10192782,10108755,10063224,9238179,8068310,6107807,6701186,9486233,6884246,6533796,7576842,8080967,11196567,9663063,9894525,9819850,9076612,9139624,10115053,10935758,13583526,13325264
 "48000","Texas",6,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",64959303,72665897,60701389,58695746,58687715,67078369,74871057,72943841,86541911,72041281,76362864,94856263,104470220,118234937,134771667,123365831,122486799,131479861,156398456,150671072,131582915,119523008,184470449,196559695
 "48000","Texas",6,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",26047284,24345493,24387540,24844648,23887404,25745295,25692935,25216512,22391122,25510913,27792683,26991053,26828710,25150788,25711180,27322740,28206539,28798699,29215808,27511369,27771256,30314867,32587208,33626705
 "48000","Texas",6,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",77526497,75449673,75124502,69343001,70734836,74570350,80218705,80134758,72773652,69788484,70515644,77003314,80059768,83719014,86858695,88504908,88478080,87963012,90412465,88221046,88534567,84946699,85807571,91349336
 "48000","Texas",6,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",119125748,122646057,128836366,168144769,163683231,186508291,203128613,187033929,177362435,198700350,208600721,198758729,219447343,195320535,198625917,193002009,198838443,222511643,206585130,192034056,225332951,235996225,248714223,275006743
 "48000","Texas",6,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",41581302,44619003,46760976,57951579,63958919,77859538,81992754,91015203,79911480,88598622,101073471,98570405,103126862,103726829,96352395,95657209,98840185,108104297,103048419,96523301,103542713,107646632,111506319,113278394
 "48000","Texas",6,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",83469766,82136909,86490949,118500725,103121721,110231186,123828429,94292261,97471976,110324240,107529637,100445889,116014968,91968130,102347241,97363778,99998258,114293379,103576549,95549293,121787221,128183584,136667270,160399100
 "48000","Texas",6,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",73370293,72453099,75240926,83622469,89704267,94753389,101897793,105863260,95168136,104233798,110919677,122246726,126526508,131327571,135891400,134101548,132373699,136328692,138720737,142677687,139063333,145557088,148952277,144905508
