GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "50000","Vermont",1,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",25681811,26522838,27548116,28989183,29283221,29420875,29296631,30168649,29565738,30890645,31663596,31898139,31494602,31847684,32042859,32312674,32589227,32827757,33339435,32408738,33584337,34915898,35499423,36398905
 "50000","Vermont",1,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",21523115,22260443,23124850,24417470,24651463,24767270,24690017,25468903,24948974,26295155,26919904,27277168,26806200,27241611,27459338,27722212,27990847,28221952,28710013,27794124,28922717,30218795,30785510,31605857
 "50000","Vermont",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",393618,341983,345676,385710,452619,399183,415060,424875,372832,414624,405645,365822,377479,443863,407496,432100,421934,400396,481691,417664,378592,492220,362143,422691
 "50000","Vermont",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",176534,180182,225683,182942,190451,200509,181236,168770,214890,217321,196089,164828,158952,161906,177081,165878,175469,107170,94843,144928,120799,116419,130033,186881
 "50000","Vermont",1,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",544632,570249,548348,626078,586340,582908,619092,640459,674271,782284,704880,766321,783228,725585,741139,651462,611144,639300,614301,690345,626567,690462,823838,856963
 "50000","Vermont",1,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",1791646,1738220,1720519,1808777,1687959,1600098,1466732,1312683,1295602,1315033,1342475,1328207,1255893,1186135,1170526,1196887,1195383,1162781,1147498,1086421,1138675,1067090,1095278,1160995
 "50000","Vermont",1,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",2493011,2512534,2662668,2829968,2814257,3144581,2807823,3122043,2667814,3139229,3350554,3479395,2811298,2711750,2819122,2666380,2939948,3089897,3096247,2971054,2786303,2920602,2693286,2638007
 "50000","Vermont",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",1673545,1698112,1832221,1935719,1939021,2135639,1792432,2082586,1840723,2274780,2447364,2657210,1955218,1782154,1757322,1642702,1856013,1981300,1931742,1765977,1727996,1750731,1576066,1499837
 "50000","Vermont",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",836638,823741,820405,889975,863930,1009169,1055388,1059139,833906,862103,899407,814747,852758,928563,1061629,1023380,1083935,1108549,1164509,1204827,1058599,1170701,1119229,1141382
 "50000","Vermont",1,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",1318641,1400953,1564891,1607038,1572049,1521372,1511831,1496082,1374108,1497496,1538592,1566359,1575306,1557240,1612741,1700943,1617563,1628158,1668399,1718077,1593600,1538183,1488616,1465434
