GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "53000","Washington",8,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",317860579,321977108,327645232,335449261,358396321,372145035,394221923,401093171,390813969,403471316,411575705,426447018,439472182,456186522,476715369,495724874,527169356,561785734,588794408,587167777,626122169,643017568,670977817,702232288
 "53000","Washington",8,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",263875250,266682378,271647950,279028794,300143130,311953777,333453417,337713675,326996654,339222338,347807150,361745720,375258235,391457406,412111483,428695950,458357389,491700088,517611182,517220686,555002026,570525437,597553227,627604526
 "53000","Washington",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",4565400,5174256,5796429,5609294,5937610,6642320,6315476,5920897,6670245,6267085,6124305,6237677,5717650,5692220,7357845,7635627,7136693,7862072,8039401,8105056,6751094,6540086,6438286,6990952
 "53000","Washington",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",664626,635479,749598,658180,912434,1111787,941642,558773,527484,494337,420899,324514,372199,430993,424349,475884,509019,556457,440750,379762,405126,377336,339321,372418
 "53000","Washington",8,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",3731731,3665255,3778571,3989808,3729446,3958556,3722863,3909590,3617499,4003105,4245886,4405725,4325167,4107716,4153700,4463667,4501003,4283509,4484851,4799024,4882733,5008975,5404466,5475294
 "53000","Washington",8,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",19845933,18559402,18895439,19581935,20609770,21180822,23034315,21414230,16659769,15066271,13974543,15143285,16977094,18043924,19294537,21198181,22953215,24997760,25133227,24715409,25835826,24036781,23113503,23399631
 "53000","Washington",8,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",40735537,40412551,37399065,37552992,46621657,49264968,55455177,52731052,53452271,57089696,57723966,60556754,62325255,63696703,66918637,59447969,62382381,64390980,66338588,51116568,48481946,48111189,50571647,51823734
 "53000","Washington",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",29611169,27062829,25404883,26109625,31567950,36103382,41217756,40279534,39946669,43773759,46972569,51010080,51846167,53229139,54728756,46798719,49873125,51356939,52550752,35534268,33559717,34622084,36731977,36978393
 "53000","Washington",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",10881069,13767565,12274835,11549169,15390594,13109861,14112218,12232305,13372585,13077295,10679966,9681514,10545653,10552764,12213881,12663842,12509256,13029538,13766958,15770432,15110669,13891821,14331269,15257630
 "53000","Washington",8,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",19641118,19497220,20576565,21730496,22604984,23311050,24118482,24441591,21540151,22898004,23428910,24084391,24627258,25496625,26707593,26913105,27657218,28426224,29127788,28612513,29264431,29007969,27733311,27663577
 "53000","Washington",8,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",20625690,21487742,22690490,23366263,24597828,25400473,25366856,24997880,23662622,25287338,26148524,27087920,29469294,31841154,35236622,40934142,48173226,53149697,56724457,60014262,60728228,54980117,59027948,69784569
 "53000","Washington",8,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",9780001,9450532,9762727,10749090,11315027,11965820,12015783,11878768,11697910,12592218,12561267,12670950,12858821,13188498,13674391,14476690,15413409,16012458,16306990,14222072,16090518,17245772,19070547,20047392
 "53000","Washington",8,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",16771871,17855857,19314215,20009329,21877027,22790874,27569503,29487870,29231558,29598289,32380650,35698426,38225243,42637304,46325962,53155287,61204334,69945812,84431239,103293629,116678013,123851732,141462159,154131952
 "53000","Washington",8,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",58815188,58501129,58490138,59237458,62389444,63842932,67148375,70836752,71898578,73385251,74885571,75984473,78023283,80357336,81192915,84097364,85191422,90504662,91933078,95325468,102705088,107308760,106836937,108448395
 "53000","Washington",8,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",15447624,16629043,16857411,16665914,17381229,18085173,17703283,17081212,19910051,18315484,18545482,19508678,18384894,18547451,19239887,20370671,19087941,19745685,20246184,22192574,23476572,22816361,21664622,21553075
 "53000","Washington",8,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",43422776,42038414,41816549,42735939,45172962,45938972,49587870,53814059,52379705,55156739,56410732,56630128,59637308,61784152,61951437,63739770,66103482,70771233,71692549,73113166,79213862,84547236,85280991,87032181
 "53000","Washington",8,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",31619683,32341059,33899796,34650349,36048076,37005379,40042873,41701723,38992436,42179928,43678246,45287348,46392833,48141099,49602542,51580398,54861411,60308109,63580834,65318517,76869092,86039052,91190057,93505437
 "53000","Washington",8,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",18795549,19222542,19784007,20592996,21498369,21932077,24262540,25708951,24153125,25681653,26723800,27839298,28382844,29574475,30307405,31930048,33891390,38284777,40443247,42640257,51687440,57265348,62509069,62938067
 "53000","Washington",8,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",4597429,4694562,5150335,4848609,4507801,4738032,4521662,4465784,4022407,4498987,4676976,5166545,5551530,5813922,5963521,6222117,6624487,7128447,7669084,7726101,8346245,10634349,10921493,13289329
 "53000","Washington",8,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",8321440,8519403,9111229,9297642,10107646,10411998,11343569,11605122,10900877,12101637,12370501,12320239,12472225,12753257,13342284,13428028,14345534,14900403,15485014,15008050,16912558,18384777,18196854,18014728
 "53000","Washington",8,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",20937117,21606761,22273418,23199265,23715762,24510687,25008199,27200582,28224242,28874916,29353375,30261130,31118104,31947783,33589261,35175963,36622531,38146544,39461158,37882877,39867743,42114481,43915977,46418568
 "53000","Washington",8,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",2446995,2340332,2426090,2595670,2465400,2473616,2579988,2801434,2954243,3129720,3151228,3163916,3159251,3162716,3152349,3133037,3072605,3129634,3253840,2876896,3083041,3440168,3425972,3473664
 "53000","Washington",8,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",18548963,19289786,19873983,20643314,21261679,22038723,22436871,24408017,25284220,25770775,26225272,27114225,27970316,28793170,30440645,32044115,33549926,35017307,36207485,35011292,36788921,38674304,40493311,42950859
 "53000","Washington",8,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",12518727,12602769,12999023,13802167,14568074,15932109,16393122,15918477,14072471,14737696,15405614,15922179,16676690,17237356,18217149,19165574,20992768,21894784,20973534,15070927,19111840,20930658,21952806,21276822
 "53000","Washington",8,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",2596968,2639115,2691865,2949618,3282014,3659895,3857678,4039131,3703496,3683576,3775258,3860505,4036648,4057698,3746144,3842985,4245604,4769459,4717913,3271804,4317745,4838267,4808516,4785665
 "53000","Washington",8,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",9963022,10002754,10350641,10888080,11303994,12283780,12537260,11852814,10335670,11030668,11610462,12043434,12621231,13164225,14469527,15322817,16747164,17127324,16259752,11801079,14800752,16107843,17132435,16493378
 "53000","Washington",8,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",9745525,9930327,9487413,9543686,9682701,9704789,9780887,9509498,9005869,8893730,9040025,9260117,9410400,9596797,9841320,10158627,10758760,11370394,11568899,10600948,10909226,11572105,11043215,10979756
 "53000","Washington",8,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",54829346,56293514,56957185,57237739,58797606,60712269,60926381,63711896,64333670,64662660,64080342,64941969,64338921,64792758,64611218,67035253,68811966,70112271,71252839,70052933,71386123,72779939,73757017,75049946
 "53000","Washington",8,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",5207453,5835719,6559354,6308908,6827531,7716704,7234659,6494544,7209609,6772374,6550878,6567790,6088123,6111663,7785755,8112619,7645712,8418375,8471929,8471874,7149044,6910627,6769939,7355566
 "53000","Washington",8,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",40069063,40865965,43142490,44921280,47039492,48545150,49260479,49172470,45029100,48003821,49396656,50989834,53939165,57196226,61828368,67811953,75830444,81557790,85798425,88528877,89888284,83846662,86548581,96795566
 "53000","Washington",8,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",13542566,13147282,13573776,14769563,15053712,15935457,15724880,15791629,15294031,16587099,16824101,17100915,17203649,17298150,17825557,18937258,19914412,20294644,20790161,19017570,20952503,22221445,24435503,25482462
 "53000","Washington",8,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",55368623,56553975,56031176,57059871,67087636,70489021,81665673,81584769,81917508,85612892,89317380,95599445,99991220,105979281,112927615,112561379,123586714,134253731,150367060,153096928,163180889,169384888,188200163,201113598
 "53000","Washington",8,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",65545053,64823909,62500156,62951863,73937470,78081273,85630235,80527043,77512140,79305311,78724030,82633551,85419564,87787908,94121430,88742508,92981307,97801516,99932271,84470667,81755306,79249841,80419906,82508643
 "53000","Washington",8,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",198774140,202152971,209073207,215889803,226456917,234201968,248273914,257359738,249627577,260009456,269125966,279160578,289889340,303730324,318037968,339965336,365376082,393905251,417700121,432670648,473174058,491524844,517703879,545911080
 "53001","Adams, WA",8,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",472367,596204,588139,572382,654521,692185,840620,836159,807454,816440,792535,806139,820730,779313,892547,807855,728684,829427,886408,904059,854276,1074347,887006,1097173
 "53001","Adams, WA",8,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",374323,493315,483535,466430,542756,577588,725109,717235,688975,699007,678532,688186,703615,663307,775406,684916,599980,694646,750542,766494,714331,924211,739772,945242
 "53001","Adams, WA",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",61679,176662,167726,146328,201819,205555,(D),313777,280054,273525,250654,237141,228158,185191,286170,225182,155841,235654,279465,281135,194748,369920,199540,368975
 "53001","Adams, WA",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,(D),249,599,415
 "53001","Adams, WA",8,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",5033,4610,1567,1681,1578,1699,2222,2264,1597,2237,2617,2652,2761,2479,2737,(D),1733,1950,3336,2681,18973,16122,21003,28111
 "53001","Adams, WA",8,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",9577,8430,7570,10395,9820,10734,(D),15724,17853,17575,14339,15719,15156,14135,14658,15152,12403,14432,15878,15937,14180,13358,13942,15444
 "53001","Adams, WA",8,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",61969,56081,59520,62258,72564,87297,115975,89460,96685,90387,98928,99320,108178,119959,119209,106393,99959,102168,101650,101016,99880,114277,121229,118165
 "53001","Adams, WA",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",851,1036,1281,2347,1977,2207,3635,(D),(D),5836,(D),8327,9521,9329,9479,7722,6765,6623,7898,8340,7141,7054,8443,7433
 "53001","Adams, WA",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",61099,54983,58150,59632,70443,84953,112033,(D),(D),84394,(D),91024,98725,110705,109807,98691,93194,95558,93689,92591,92987,108182,113281,111449
 "53001","Adams, WA",8,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",56876,57866,58288,54613,54275,52324,50923,56283,49194,55542,57013,72003,(D),84985,83351,(D),64333,61722,(D),(D),69498,(D),(D),63681
 "53001","Adams, WA",8,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",27037,28537,29847,33587,34446,36910,33446,33212,30899,32669,31598,31060,30979,32995,32070,34670,35957,38242,40456,46513,49118,48920,49825,55961
