GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "55000","Wisconsin",3,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",252941835,257966938,265745807,275412405,282065657,287146577,289855233,286204709,277279381,287652877,293663960,299007637,301550506,309425837,315687778,319272276,321886779,328832367,333256767,324014383,334848617,341875214,347108222,354382123
 "55000","Wisconsin",3,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",218033348,222515583,229567655,239247910,245804319,250831313,253240908,249074276,239906571,250061399,256370540,261635292,265518240,273349088,280615330,284242973,287076413,293828988,298059887,289620284,299768327,306528133,312174483,318702436
 "55000","Wisconsin",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",3586129,3641819,3719542,4023508,4145722,4290387,4249319,3624816,3441501,4000319,4189653,3901960,3982599,4402158,5019087,4969648,4828140,5002731,4795793,5352992,5022959,4945618,4799625,5392104
 "55000","Wisconsin",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",691236,721611,741352,788924,614989,674908,585701,511529,493766,572020,446789,425066,551623,944888,1383735,644203,648379,1014564,711623,512318,487228,734256,516709,523933
 "55000","Wisconsin",3,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",4236367,4238329,4265991,4560413,4281568,4494918,4600099,5213345,4596018,5173032,5520155,5646633,5716252,5424564,5397889,5665427,5474080,5052354,4900203,4963237,4599473,4727505,5203527,5161449
 "55000","Wisconsin",3,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",16237313,15598991,15806255,16020025,15162501,13859703,13473110,12746255,11446864,10661949,10364889,10871027,11459452,11751655,12398482,12804782,13297084,13728629,13909003,13805703,14088514,13087033,13173869,13813585
 "55000","Wisconsin",3,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",48106613,48232084,50203384,52668036,53983754,57639277,57784486,53679450,47681525,52528411,54846426,57415600,58621159,58819738,58199897,57298705,56187780,57075610,58490563,56655706,58591356,57691400,55861544,55402659
 "55000","Wisconsin",3,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",25410945,25184497,27507347,28823822,30539733,32730605,32948460,31244400,24669841,29092801,32594546,34427454,35522069,33859764,33482275,32156343,32951948,33232560,33617897,30515517,32799484,32378935,31148788,30102614
 "55000","Wisconsin",3,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",23032125,23447637,22849430,24012696,23390284,24827060,24731687,22259908,23131662,23460690,22229687,22963100,23071117,24955810,24713650,25141815,23235832,23843449,24877654,26177298,25823860,25341927,24748071,25370211
 "55000","Wisconsin",3,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",14867636,15320537,15659213,16647157,17330231,17538190,17707772,18192748,16155227,16903188,16997240,17465683,18062109,18448185,19208454,19444791,19831818,20337630,19397871,20161736,19720277,18990385,19018534,19044860
 "55000","Wisconsin",3,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",15830892,16693605,17348364,17113546,17029145,16986623,16218723,15939484,15338165,15531336,15759470,15326082,16253841,16643455,17551183,18550400,19349084,19975471,20207330,19981668,19678532,19023231,21251672,23282908
 "55000","Wisconsin",3,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",8429815,8357424,8652370,8993879,9237420,9404707,8995603,8510047,8141643,8684615,8784581,8722001,9110464,9469427,9672193,9740864,10250337,10252756,10167604,9823961,10718994,10191595,10197718,10485669
 "55000","Wisconsin",3,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",4091663,4566306,4711800,5498124,6022172,6282665,6835290,7331858,7329130,7713489,7992247,7906113,8567022,9005318,10002761,10554337,11042553,11449584,13112121,13290750,14576033,17262666,18338340,18849306
 "55000","Wisconsin",3,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",46778728,47420601,48560061,50896099,54599512,54520348,57296783,55386400,59142635,60465027,61681933,63348354,60589196,64225163,65500333,66119945,65524917,65638152,65453457,62916885,63826121,67693448,70307905,71465972
 "55000","Wisconsin",3,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",16015236,16117657,16652407,18389231,20582639,20602880,21634052,18917224,21968339,21630408,21907836,23565985,20873219,25405105,27570766,28348058,27450530,27327171,28233478,26663475,25637381,27486120,28608145,28575294
 "55000","Wisconsin",3,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",30760057,31297184,31903008,32488644,33982843,33882657,35626357,36413882,37223195,38824358,39756721,39805414,39696585,38817664,37929410,37770770,38074387,38313744,37204296,36241492,38176120,40195060,41687269,42879933
 "55000","Wisconsin",3,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",19707411,20482012,21420851,21529330,22085552,22689692,23226305,24322358,22730790,24188351,25093603,25800801,26649287,27770135,28833385,30167408,31234852,33333178,34445892,34004136,37489445,39990159,40949947,41733445
 "55000","Wisconsin",3,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",9492967,9984985,10135702,10349157,10590479,10900033,11331084,12272030,11560592,11948221,11978712,12368917,12386888,12756864,13449160,13790876,14263389,15229739,16153118,16019971,18220017,19555080,20469084,21197821
 "55000","Wisconsin",3,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",5512346,5753907,6391751,5875177,5662288,5792590,5453200,5390629,5219674,5703148,6136101,6446177,7009159,7588100,8025990,9016895,9070718,9720773,9900356,10158282,10795058,11116584,11243454,11620238
 "55000","Wisconsin",3,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",4797903,4851233,5072512,5414017,5924260,6090215,6558074,6795100,6052180,6640094,7076684,7063816,7309609,7461666,7377192,7356480,7900746,8383283,8393106,7864201,8495323,9285838,9221330,8973945
