GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "56000","Wyoming",7,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",28338117,28901290,29806642,30780132,32463117,36655636,39504839,41641237,40599568,39135847,38929822,38084983,38408734,39287223,40063871,37853539,37620307,37977192,38577118,36463517,37182593,37690571,39843229,39780691
 "56000","Wyoming",7,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",23574206,23963610,24684563,25595221,27192429,31164784,33635021,35475174,34418901,32958576,32774607,31841001,32009173,32871990,33732200,31575505,31298478,31739987,32493539,30530123,31256620,31625997,33783330,33504871
 "56000","Wyoming",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",502593,406612,502688,457452,508210,532091,347220,427798,541795,556245,644904,442406,511551,573825,652773,693956,627682,705250,691680,617271,561447,643163,729687,575435
 "56000","Wyoming",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",6187565,6426450,6568291,6929730,7539714,9367351,9742024,9895656,10593244,9178580,8772931,7348019,7470304,7708163,7708207,6652526,6891107,6616351,6885575,6521720,5734306,5614234,6792930,5506223
 "56000","Wyoming",7,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",643015,686328,681790,714294,691461,729466,775638,843033,826617,956880,998841,1052357,1049456,973806,1003216,1094551,1044494,976132,967776,1003745,884089,860568,905708,978259
 "56000","Wyoming",7,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",2184299,2174525,2114420,1970655,2016314,2239104,2528752,2785726,2414958,2405709,2247741,2460071,2483491,2588295,2414128,2147355,1936448,1978720,2250128,2113309,2088680,1892597,1965942,2125597
 "56000","Wyoming",7,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",1998244,1467074,1684161,1838345,1808820,2096356,3040420,3774769,1914351,1922585,1893318,2166728,1737802,1571084,2110373,1757123,1986957,2252529,2764611,2200334,2677584,2641372,2646468,2994324
 "56000","Wyoming",7,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",310699,309949,313963,355774,368589,375712,428705,480642,417311,427420,477240,494840,460039,475729,490177,429771,495383,502408,562465,503823,534163,551791,538682,524386
 "56000","Wyoming",7,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",1733836,1159715,1388031,1498402,1453265,1735670,2624891,3305799,1490892,1488323,1416825,1658980,1282053,1109107,1620970,1328068,1491575,1746041,2193066,1681158,2131951,2083144,2098738,2458095
 "56000","Wyoming",7,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",1050056,1090662,1139883,1198038,1268675,1426553,1538473,1650545,1399882,1470960,1493777,1648205,1712947,1856874,1755423,1552084,1456063,1441423,1438894,1322308,1229142,1218812,1202077,1218725
 "56000","Wyoming",7,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",1586795,1721631,1759381,1680860,1819145,1944343,2063806,2154997,2067272,1966505,2020395,2067674,2098957,2085797,2166245,2180930,2167795,2177837,2260194,2178820,2148847,2137540,2371247,2610447
 "56000","Wyoming",7,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",1608195,1552773,1732243,1905654,2085216,2412128,2533926,2695639,2437735,2537874,2463321,2720301,2913106,3181957,3463475,3347211,3288762,3507528,3076850,2787395,3072825,2910864,2945188,2948338
 "56000","Wyoming",7,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",209320,243227,268421,302439,324161,358242,399247,443952,477124,499565,501612,491549,524092,515442,583380,604155,629362,656826,710698,686013,821834,845599,920656,880470
 "56000","Wyoming",7,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",3389288,3613588,3603455,3861258,4232189,4259202,4674042,4679987,5012669,5122808,5419129,5655426,5711011,5987979,5885007,5744262,5382151,5426206,5308700,5329939,5434235,5908061,5959304,6011078
 "56000","Wyoming",7,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",963690,1049356,925132,902232,978579,1022825,1075281,1053230,1163270,1039719,1104118,1151054,1029694,1131393,1136323,1066318,1060817,1071111,1057312,1108831,1249295,1189615,1146882,1136851
 "56000","Wyoming",7,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",2459090,2601979,2706662,2984595,3281084,3265758,3629106,3655595,3885088,4092088,4324419,4513944,4669373,4851821,4747311,4677368,4321334,4355129,4250939,4218943,4179654,4737377,4839507,4904952
 "56000","Wyoming",7,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",1195374,1281713,1253925,1196011,1204245,1332616,1507194,1654106,1650348,1656094,1716165,1803286,1836275,1884605,1847552,1719588,1794357,1920425,2001414,1912747,2351832,2597017,2876058,3094918
 "56000","Wyoming",7,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",828607,904466,853305,833434,850718,920242,997820,1122833,1047375,1065184,1093650,1144714,1137602,1202220,1162649,1088512,1131687,1220148,1324240,1248137,1437810,1652283,1841042,1960191
 "56000","Wyoming",7,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",81666,112619,118457,115242,115296,127609,114061,113033,102337,123918,122933,144830,155900,137045,140412,123288,121153,127172,125177,147051,347761,297634,315139,288135
 "56000","Wyoming",7,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",274769,259438,276787,243185,234169,280520,394149,417415,503398,466300,500060,512144,541294,544924,544114,507696,541517,573091,552349,519991,586343,659351,731551,845662
 "56000","Wyoming",7,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",1118277,1191751,1248506,1318398,1356361,1433572,1488287,1641245,1672979,1714394,1738966,1769913,1777113,1774988,1801114,1794381,1794895,1823493,1853513,1782662,1835736,1935612,1980370,2035623
 "56000","Wyoming",7,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",78575,91707,86427,94990,92703,98715,100692,104463,115952,121266,124104,120094,123439,117724,110286,112295,116554,115585,123597,112320,128391,146049,150809,157028
 "56000","Wyoming",7,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",1040117,1102115,1162396,1224394,1263885,1335197,1387723,1536147,1557403,1593770,1615620,1650078,1654119,1657452,1690763,1682060,1678341,1707923,1729841,1670402,1707107,1789050,1829003,1877974
 "56000","Wyoming",7,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",1108933,1187607,1241951,1333317,1348008,1596307,1563650,1580359,1476256,1477947,1556641,1621266,1625441,1653028,1713222,1644739,1676584,1612889,1623538,1451722,1774054,1861336,1883332,1859747
 "56000","Wyoming",7,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",217390,186115,194333,195675,191780,207569,223482,233689,235337,253579,269896,290883,275537,298563,269923,262529,277855,288617,286959,251481,313208,341058,352661,365527
 "56000","Wyoming",7,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",888250,1001333,1047476,1138777,1157943,1392411,1342258,1348318,1241606,1224184,1286403,1329553,1349709,1353703,1443448,1382289,1398729,1324371,1336648,1200436,1460884,1520680,1531512,1495847
 "56000","Wyoming",7,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",675991,722138,670337,648351,661655,760190,808150,777068,724991,715252,710427,729021,706482,678940,670468,619415,621822,650458,656281,588178,607117,635782,602506,600561
 "56000","Wyoming",7,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",4832165,5012656,5201622,5256066,5312135,5433318,5796522,6083046,6128323,6156277,6136586,6268953,6441296,6440708,6340652,6279636,6321829,6236068,6081912,5921578,5921294,6067763,6019422,6245840
 "56000","Wyoming",7,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",6699964,6808732,7064492,7370277,8029234,9904479,10146134,10361555,11151204,9726076,9384860,7774297,7963696,8263258,8348056,7349773,7518789,7314969,7573707,7133619,6291983,6253802,7518136,6076772
 "56000","Wyoming",7,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",2644910,2825727,2910524,2879506,3090823,3368719,3598172,3798119,3469441,3435000,3512111,3710819,3805768,3932772,3915880,3732164,3623858,3619086,3697402,3498385,3376444,3354880,3568908,3816212
 "56000","Wyoming",7,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",2262084,2261251,2424712,2625103,2766638,3118397,3286634,3516110,3251439,3495197,3469242,3778266,3967699,4156574,4465378,4441546,4333256,4483560,4042971,3784405,3953575,3768819,3848299,3921616
 "56000","Wyoming",7,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",2044141,1655908,1882457,2070354,2076291,2383504,3309629,4047051,2379595,2415729,2389756,2651747,2257486,2083666,2688469,2363415,2616319,2912554,3487119,2898601,3517650,3495209,3549202,3901371
 "56000","Wyoming",7,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",10792623,10321825,10746399,11097154,11828718,14305897,15558004,16520806,15852048,14253030,13734862,12298692,12137789,12398078,12889855,11263029,11442194,11550697,12615401,11467381,11079931,10825055,12153264,11336737
 "56000","Wyoming",7,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",12522052,13273985,13574548,14121140,14956371,16166156,17288589,18072277,17731888,18110430,18608605,19535820,19940474,20564515,20878940,20297925,19856283,20191725,19876211,19014555,20082875,20773923,21468619,22040446
 "56001","Albany, WY",7,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",1210480,1265120,1311780,1323453,1309872,1297960,1388813,1447212,1440861,1450588,1528379,1481170,1530931,1580650,1604752,1549663,1577300,1551129,1508096,1536703,1560405,1607145,1810891,1848358
 "56001","Albany, WY",7,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",722400,750237,759804,764537,774742,775896,842508,871586,859171,865869,945279,893610,921176,972741,1005386,963465,987579,1020870,996404,1022073,1053490,1086763,1288867,1318676
 "56001","Albany, WY",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",24661,6394,19970,19186,8307,11332,12140,7978,17118,7077,(D),(D),20280,26690,36174,10499,12089,5188,4984,4039,2359,11013,17831,(D)
 "56001","Albany, WY",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",1491,1943,4010,3670,2157,3591,3801,4342,5066,5142,5863,6200,6644,10627,10066,6971,9726,8303,8215,7097,8045,16389,17397,10513
 "56001","Albany, WY",7,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",3378,2679,2497,2027,2839,2940,(D),(D),4050,9021,11263,10856,11022,10511,9167,11731,10195,(D),10463,12510,9776,9883,10441,10519
 "56001","Albany, WY",7,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",80710,79115,68918,81200,80265,77790,92256,87981,84679,71740,(D),(D),74720,82769,85656,82655,106475,77346,69179,83174,81169,74578,198007,184969
 "56001","Albany, WY",7,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",38895,34610,31943,30312,31775,34324,36977,40274,35264,33189,33988,34491,33787,33853,40130,38978,44963,45123,44669,41937,43922,42380,39372,(D)
 "56001","Albany, WY",7,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",33340,29386,26536,24656,25860,27244,30260,32807,30564,29444,30648,30866,30583,30374,36317,35449,41317,41273,40681,37878,39093,36815,34074,35817
 "56001","Albany, WY",7,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",5268,4951,5127,5381,5627,6778,6394,7108,4542,3668,3334,3587,3204,3459,3806,3527,3646,3852,3992,4069,4858,5656,5398,(D)
 "56001","Albany, WY",7,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",27580,28030,27311,(D),(D),(D),(D),(D),17613,19044,17911,17869,20751,24342,27662,29514,31279,27762,27158,28314,27696,27222,27834,27029
 "56001","Albany, WY",7,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",93450,97353,95712,87586,87881,89032,93599,99485,96550,97541,102245,102658,105702,107226,111692,117540,117146,111924,109871,105509,106153,108025,124129,135471
 "56001","Albany, WY",7,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D),26044,25674,21938,21241,22293,21191,25410,23916,24173,21975,22441,26121,16253,15358,19779,20988,22808,24438
 "56001","Albany, WY",7,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",7250,(D),13006,(D),(D),(D),15583,16809,18157,17733,16435,12614,12805,12770,13840,16197,21747,(D),28263,33901,45426,48619,51093,(D)
 "56001","Albany, WY",7,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",193593,210388,220365,233246,251867,234825,260610,270909,265507,285482,321251,294531,306867,339279,339556,329374,310585,340279,318695,341535,323580,302154,316232,302236
 "56001","Albany, WY",7,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",45439,49174,47703,48957,54755,56247,63318,60234,62450,61842,67062,68746,65775,71252,69842,68921,65316,67114,67058,67073,65331,71569,69152,67425
 "56001","Albany, WY",7,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",148585,161674,173063,184716,197571,178987,197749,210996,203673,223725,254050,226367,241192,268021,269599,260452,245269,273254,251609,274487,258273,230444,247114,234791
 "56001","Albany, WY",7,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",65652,75697,(D),64466,71459,77688,92038,97074,96175,98073,116074,105284,103167,103958,106548,102520,106268,114401,124730,119538,140603,164971,185899,257536
 "56001","Albany, WY",7,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",56954,62721,59143,55987,62313,67945,75567,80781,78641,83867,88197,89849,86673,86550,87541,82321,84006,91995,102389,99722,117693,135349,154022,229944
 "56001","Albany, WY",7,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",355,4463,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,(D),(D),(D),(D),(D),(D),1406,1621,(D)
 "56001","Albany, WY",7,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",8184,9075,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),18969,(D),(D),(D),(D),(D),(D),28334,30560,(D)
 "56001","Albany, WY",7,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",(D),95365,95099,97773,99161,100219,95410,109118,114056,116220,117978,111842,109920,104422,103706,100562,96961,132837,134727,139679,147060,163507,166497,173090
 "56001","Albany, WY",7,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",(D),(D),30427,30637,29280,29520,24067,23200,25879,28976,27620,22931,21739,18458,14219,12538,12114,10148,9816,12151,16092,20875,21332,23266
 "56001","Albany, WY",7,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",(D),(D),66245,68640,71122,71943,72024,86191,88635,87982,90936,89196,88410,86087,89504,88024,84847,122723,124951,127534,130904,142499,145028,149669
 "56001","Albany, WY",7,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",50405,57172,57415,56462,54663,57713,58935,63381,58677,60743,64348,66283,64778,65744,65341,63223,63598,63899,64135,58197,67309,69774,70415,68176
 "56001","Albany, WY",7,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",9114,8786,8562,7330,6573,7236,6929,7270,6975,8705,10194,11094,9117,9340,7947,6863,5934,7185,7712,7620,9137,10052,12002,12372
 "56001","Albany, WY",7,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",40905,48137,48637,49072,48102,50453,52036,56159,51728,51971,54020,55011,55584,56321,57363,56350,57664,56716,56428,50580,58178,59764,58631,56089
 "56001","Albany, WY",7,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",41170,42728,43086,(D),(D),(D),43450,35688,32068,30907,30286,29966,29261,29261,31749,31772,34106,35261,36273,32009,33992,34991,31689,(D)
 "56001","Albany, WY",7,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",488549,516322,556733,564048,537478,523210,545920,575941,582788,585757,582434,588017,610319,608027,599389,586192,589721,530487,511942,515024,507744,521233,521222,528797
 "56001","Albany, WY",7,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",26472,7950,23337,22284,10144,14509,15497,11973,21437,11822,(D),(D),26963,37024,46299,17454,21815,13499,13207,11138,10253,27816,36263,(D)
 "56001","Albany, WY",7,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",120223,124633,122318,(D),(D),(D),(D),(D),114414,116782,120438,120813,126669,131678,139389,147078,148425,139663,137002,133851,133890,135309,151949,162154
 "56001","Albany, WY",7,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D),(D),(D),25192,30155,33602,32098,36457,34456,33316,33693,32635,(D),26662,27735,29508,30823,33205,34938
 "56001","Albany, WY",7,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",43917,(D),45146,(D),(D),(D),52863,57373,54473,52047,51193,46999,46573,46595,53802,55142,66710,(D),72716,75282,88058,89230,87846,87800
 "56001","Albany, WY",7,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",142930,115583,121132,127821,114425,119629,136197,131302,134112,110182,126209,121850,132802,153239,172913,139143,173254,135993,126948,136818,135920,143166,277405,248851
 "56001","Albany, WY",7,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",582220,635514,639777,637977,661609,657386,707144,741721,726265,757336,820768,773280,789635,820094,832552,824123,814325,884764,869352,885120,917435,943307,999047,1061571
 "56003","Big Horn, WY",7,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",523337,501597,512217,502151,494663,581406,511940,526168,519383,524024,546028,530039,550888,535321,523415,502007,499564,498360,514965,491315,481787,501246,540761,569829
 "56003","Big Horn, WY",7,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",428053,404332,412909,403893,394795,476178,405189,416283,409369,413902,436409,416761,433617,418291,408126,388219,384821,383955,404333,383050,375472,392513,435461,464063
